BASIN SUB BLOCK AMGO AMRO BCCH BEKI BEWR BGWA BHGR
D AL 1 0 1 0 5 0 NA 25
D AL 2 NA 0 0 0 0 0 4
D AL 3 0 5 2 0 0 2 1
D AL 4 0 0 0 0 0 2 1
D AL 5 0 3 0 0 1 2 1
D AL 6 1 1 0 0 0 2 1
D AL 7 0 0 0 0 0 2 1
N AL 8 0 0 0 0 0 2 1
N AL 9 0 0 0 0 0 2 1
N AL 10 0 0 0 0 0 2 1
N AL 11 0 1 1 0 0 2 1
N AL 12 0 2 0 0 0 2 1
N AL 13 0 0 1 0 0 0 5
N AL 14 0 2 0 0 1 0 5
N AL 15 0 1 0 0 0 NA 5
N AL 16 0 1 0 0 0 NA 5
D BC 1 0 0 0 0 0 0 5
D BC 2 0 0 0 0 0 0 5
D BC 3 0 1 0 0 0 0 5
D BC 4 0 0 0 0 0 2 5
D BC 5 0 0 0 0 0 2 5
D BC 6 0 0 0 0 0 2 1
D BC 7 0 2 0 0 0 2 5
D BC 8 0 0 0 0 0 2 5
N BC 9 0 0 0 0 0 2 5
N BC 10 0 0 0 0 0 2 5
N BC 11 0 0 0 0 0 0 1
N BC 12 0 0 0 0 0 2 1
N BC 13 0 0 0 0 0 2 1
N BC 14 0 0 0 0 0 2 5
N BC 15 0 0 0 0 0 0 5
N BC 16 0 0 0 0 0 0 5
