site,type,no.tree.spp,no.total.trees,avg.canopy.height,total.shrubs,total.flowering.shrubs,percent.flowering.shrubs,percent.canopy.cover,percent.ground.cover
PA,bird,4,40,14.11251446,110,13,10,0.85,0.7
PA,bird,4,11,10.22508174,23,3,1,0.4,0.95
PA,bird,4,11,6.392238992,243,35,15,0.4,0.85
PA,bird,4,7,9.868420072,227,18,15,0.45,0.65
PA,bird,4,9,7.172092088,212,31,20,0.5,0.85
PA,bird,5,9,10.74215023,219,37,50,0.25,0.8
PA,bird,4,12,14.96624679,136,64,65,0.6,0.8
PA,bird,2,3,6.617976402,140,0,0,0.1,0.65
PA,bird,2,10,9.398848584,213,27,40,0.4,0.95
PA,bird,7,15,9.849661808,199,27,40,0.6,0.85
PA,bird,5,31,6.040802096,158,20,15,0.4,0.7
PA,bird,3,11,10.73180289,98,37,45,0.3,0.8
PA,bird,6,9,13.3853954,65,5,2,0.5,0.9
PA,random,2,4,9.248235713,186,14,10,0.5,0.65
PA,random,3,19,17.48022783,49,33,30,0.65,0.45
PA,random,7,20,21.48121729,63,45,40,1,0.65
PA,random,4,42,11.24965337,84,21,30,0.95,0.65
PA,random,3,14,21.43164668,1,,0,1,0.45
PA,random,7,27,9.434991089,60,3,5,0.55,0.6
PA,random,4,24,11.67516348,197,22,40,0.7,0.9
PA,random,6,36,20.18485592,6,,0,1,0.75
PA,random,4,16,11.61838612,264,59,70,0.7,0.7
PA,random,2,3,14.00285039,273,,80,0.15,0.45
PA,random,7,44,14.75976809,142,19,30,0.85,0.6
PA,random,4,51,21.78662559,132,5,2,0.85,0.35
PA,random,5,48,16.68857641,1,0,,1,0.1
PA,random,4,13,11.35440869,187,62,70,0.8,0.2
PA,random,3,26,14.38747891,153,67,95,0.75,0.6
MA,bird,4,6,15.25670555,14,0,0,0.75,0.5
MA,bird,0,0,1.407852337,27,9,80,0.05,0.75
MA,bird,0,0,2.013085873,47,0,0,0,0.7
MA,bird,0,0,3.93256371,29,0,0,0.1,0.65
MA,bird,0,0,2.606119631,11,2,1,0,0.75
MA,bird,1,1,2.636409138,14,8,100,0.15,0.75
MA,bird,0,0,2.487654126,66,0,0,0.1,0.7
MA,bird,4,16,12.44578149,58,9,60,0.35,0.7
MA,bird,8,27,15.00035078,15,0,0,1,0.2
MA,bird,0,0,1.774550649,124,0,0,0,0.65
MA,bird,0,0,2.965053562,23,8,10,0,0.75
MA,bird,0,0,4.627825874,46,12,100,0.3,0.8
MA,bird,0,0,3.758383112,160,1,2,0.55,0.5
MA,bird,5,27,14.41456411,34,5,10,0.9,0.3
MA,bird,0,0,3.90849138,42,6,90,0.3,0.7
MA,bird,0,0,3.183844403,77,11,45,0.3,0.75
MA,bird,3,5,13.83250348,3,0,0,0.4,0.65
MA,random,2,5,14.58568411,3,0,0,0.55,0.85
MA,random,10,28,16.13269184,31,0,0,1,0.5
MA,random,2,2,14.21198351,44,4,1,0.7,0.55
MA,random,0,0,1,9,0,0,0,0.75
MA,random,0,0,0.030531637,5,14,15,0,0.65
MA,random,0,0,2.649863962,18,0,0,0,0.7
MA,random,6,14,20.1443761,4,0,0,0.55,0.75
MA,random,7,21,20.92514262,32,1,5,1,0.4
MA,random,0,0,3.207204043,5,3,50,0.15,0.75
MA,random,0,0,2.827845609,5,0,0,,0.8
MA,random,4,11,20.18562207,16,6,20,0.65,0.7
MA,random,0,0,0.75,2,0,0,0.05,0.7
MA,random,5,8,17.2126355,35,8,20,0.45,0.75
MA,random,6,27,15.5175908,57,0,0,0.95,0.35
MA,random,4,12,15.08729047,26,0,0,0.6,0.6
