point.id,worms.pa,worms.count,middens.pa,middens.count
1001,0,0,0,0
1002,1,13,1,4
1003,1,1,1,7
1004,1,8,1,5
1005,1,1,0,0
1006,1,13,1,7
1011,1,3,1,9
1102,1,14,1,11
1108,0,0,0,0
1110,1,8,0,0
1112,1,1,0,0
1201,0,0,1,1
1203,1,1,0,0
1206,1,9,1,1
1305,1,2,1,3
1306,0,0,0,0
1307,0,0,0,0
1403,0,0,0,0
1407,1,2,1,1
1503,0,0,0,0
1508,1,2,1,2
1614,0,0,0,0
1616,0,0,0,0
1706,1,9,1,2
1709,0,0,0,0
1805,1,1,1,1
1811,1,1,0,0
1905,1,2,1,3
1907,0,0,1,1
2006,0,0,1,1
2014,1,5,0,0
2102,1,6,1,8
2103,1,39,1,4
2206,1,9,1,2
2208,1,11,1,10
2214,1,30,1,9
2305,1,4,1,2
2306,1,1,0,0
2401,1,24,1,6
2403,1,1,1,2
2412,1,8,0,0
2503,1,22,1,2
2514,1,2,0,0
2607,1,2,1,8
2610,1,5,0,0
2702,0,0,0,0
2703,0,0,0,0
2801,1,6,1,2
2810,1,3,0,0
2811,1,3,0,0
2905,1,3,0,0
2906,1,2,1,3
3004,1,36,1,7
3007,1,2,1,7
3101,1,6,0,0
3116,1,5,1,6
3204,0,0,0,0
3205,1,2,1,2
3305,1,2,1,7
3311,0,0,0,0
3403,0,0,0,0
3408,1,6,0,0
3504,0,0,0,0
3511,0,0,1,1
3601,0,0,0,0
3602,0,0,0,0
3603,1,9,0,0
3701,0,0,0,0
3705,1,2,0,0
3707,1,2,0,0
3802,0,0,0,0
3804,1,3,0,0
3902,0,0,0,0
3905,1,2,0,0
3909,0,0,0,0
4005,0,0,0,0
4007,1,8,0,0
4102,0,0,0,0
4109,1,26,0,0
4203,1,1,1,1
4204,1,1,0,0
4302,0,0,0,0
4306,0,0,0,0
4312,1,17,1,10
4403,1,6,0,0
4410,1,1,1,1
4504,0,0,0,0
4511,0,0,0,0
4606,0,0,0,0
4607,0,0,0,0
4703,0,0,0,0
4707,1,1,0,0
4802,0,0,0,0
4811,0,0,0,0
4816,0,0,0,0
4901,0,0,0,0
4903,0,0,0,0
4915,0,0,0,0
