cell	X	Y	d1h1	d1h2	d1h3	d1h4	d1h5	d1h6	d1h7	d1h8	d1h9	d1h10	d1h11	d1h12	d1h13	d1h14	d1h15	d1h16	d1h17	d1h18	d1h19	d1h20	d1h21	d1h22	d1h23	d2h1	d2h2	d2h3	d2h4	d2h5	d2h6	d2h7	d2h8	d2h9	d2h10	d2h11	d2h12	d2h13	d2h14	d2h15	d2h16	d2h17	d2h18	d2h19	d2h20	d2h21	d2h22	d2h23	d2h24	d3h1	d3h2	d3h3	d3h4	d3h5	d3h6	d3h7	d3h8	d3h9	d3h10	d3h11	d3h12	d3h13	d3h14	d3h15	d3h16	d3h17	d3h18	d3h19	d3h20	d3h21	d3h22	d3h23
1	535250	410250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	535250	410750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	535250	411250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	535250	411750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	535250	412250	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0
6	535250	412750	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	2	3	1	0	1	0	0	0	1	0	2	1	0	0	1	0	2
7	535250	413250	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
8	535250	413750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	535250	414250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	535250	414750	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
