ID	Pasture	ac	am	ara	as	bo	ca	co	com	con	cu	cy	eu	grcyn	grresto	had	hsch	hse	hth	ir	la	le	ma	my	ox	pi	ru	rut	sa	scr	so	vi	vit	B1	B2	B3	Block	Site	ALTITUD	AGE 	CATTLEINTENSITY 	FIELDSLOPE	WEEDINGFRECUENCYIND	PLAGUE	NAKEDSOIL 	MINVEGHEIGHT	MAXVEGHEIGHT
1	3	0.6	0	0	0.3	0	0	0.5	0.1	0	0	2.2	0.9	0	5.6	0	0	0	0	0	2.8	4	1	0	0	0	1	0	0	0	0.1	0	0	0	0	1	3	1	120	3	8	10.2	3	0	0.1	7.7	18
2	4	0	0	0	0	0	0	0.3	0.6	0.4	0	1.9	0.7	5.3	3.8	0	0	0	0	0	2.5	1	0.2	0	0	0	0.1	0	0	0	0	0	0	0	0	0	4	1	170	2	25	0	2	0	0	17.5	52.5
3	5	0	0.1	0	0	0	0	3.6	1	0.5	0	0.5	1.2	3.7	3.4	0	0	0	0	0	0.5	2.5	0.3	0	0	0	0.5	0.1	0	0	0	0.1	0	0	0	0	4	1	170	2	25	0	2	0	0.8	24.2	70
4	6	1.6	0	0	0.5	0	0	1.1	0	0.1	0.1	3.2	1.1	0.2	5.7	0	0	0	0	0	2.4	3.4	1.5	0	0.2	0	1	0	0	0.3	0.3	0	0.9	0	0	1	3	1	136	6	3.5	16	3	1	0	2.9	29.5
5	7	0	0	0	0	0	0	0.4	0.3	0	0.1	2.5	1.1	0.1	4.3	0	0	0	0	0.1	3.9	1.6	0.5	0	0	0	0.7	0	0	0	0	0	0	0	0	1	3	1	98	8	25	0	NA	1	0.3	1.4	29
6	8	0.2	0.2	0	0.1	0	0	0.7	0.1	0	0	2.2	0.9	3.8	4.1	0	0	0	0	0	2.9	2.5	1	0	0	0	0.8	0	0	0.3	0.1	0.2	0.1	0	0	0	4	1	112	5	25	0	3	0	0	3.8	36
7	9	1.3	0	0	0.5	0	0	0.5	0	0	0	2.4	0.4	5.6	2.5	0	0	0.1	0	0	1.7	1.3	1	0	0	0	0.9	0.1	0	0.2	0.5	0	0	0	0	0	4	1	382	3	25	13	NA	0	0.2	10.1	45.5
8	10	1	0	0	0.7	0	0.1	1.7	0	0	0	2.7	1	3.4	4.4	0	0	0.7	0.1	0	2.3	1.7	1.1	0.2	0.4	0.1	1.1	0.2	0	0.6	0	0.2	0	0	0	0	4	1	320	4	12	13	3	1	0.3	2	37.5
9	11	0.7	0	0	0.7	0	0.1	1.1	0.1	0	0	1.5	0.8	0	5.9	0	0	0	0	0	1.3	1.2	1.3	0.1	0.1	0	1	0	0	0.6	0.2	0	0.1	0	0	1	3	1	168	7	20	15.5	3	1	0.8	1	12
10	12	0.3	0	0	0.1	0	0	0.7	0	0.2	0	0.8	1	2.8	5.7	0	0	0	0	0	2.1	2.1	1.3	0	0	0	0.7	0	0	0.8	0	0	0	0	0	1	3	1	104	6	8	0	3	1	0.4	1.9	30
11	13	0.1	0.7	0.1	0	0	0	1	0.2	0	0.2	1	0.7	3.2	1	0.4	0.1	0	0.1	0	4.8	0.6	0.9	0	0	0.5	0.9	0.1	0.1	0.1	0.5	0	0.3	0	1	0	2	0	240	1	3	18	3	0	3.6	8.1	40
12	14	0.8	0	0.3	0	0	0	0.3	0.4	0	0.3	1.8	1.1	1.4	2.8	0	0.2	0	0.3	0	5.4	1.3	1	0	0	0.6	0.8	0.3	0.1	0.2	0.3	0	0.4	1	0	0	1	0	196	3	10	19	3	1	1.4	5	36.5
13	15	0.5	0	0.5	0	0	0	0.1	0.1	0	0.4	2.2	0.9	4.2	3	0	0.1	0.1	0.4	0	3.8	1.2	0.5	0	0	0.4	1	0.1	0.1	0.3	0	0	0	0	1	0	2	0	208	2	5	12	3	1	0	6.7	36.5
14	16	0.3	0.2	0	0.2	0	0	0.9	1.3	0	0	1.1	1.3	2.9	3.9	0	0	0	0	0	2.6	4.2	2.5	0.1	0	0	1.1	0	0	0.8	0	0.4	0	0	1	0	2	0	146	3	12	6.6	3	1	0	6.6	33.5
15	17	0.3	0.1	0	0.3	0	0	0.9	0.9	0.1	0.3	2.2	1	5.2	2.5	0	0	0	0	0.1	2.3	2.5	1	0.1	0.1	0	1	0.1	0	0.6	0.1	0	0.2	0	1	0	2	0	180	5	5	7	NA	1	0.2	15.2	38
16	18	0	0.1	0	0	0	0.1	0.6	0.4	0	0.4	1.4	1.2	4	4.3	0.3	0	0	0.1	0	2.4	2.6	0.9	0	0.4	0.1	0.8	0	0	0.7	0.3	0.3	0.4	0	1	0	2	0	140	6	30	3	3	0	0	14.5	47.5
17	19	0.9	0	0	0.3	0	0.1	0.9	0.2	0.6	0.1	3.4	1.3	0	4.4	0.2	0	0	0	0	3	2.1	2.6	0	0.3	0	1	0.1	0	0.6	0.6	0	0	1	0	0	1	0	148	5	2.5	11.5	3	1	1.7	2.9	22.5
18	20	0.9	0.2	0	0	0	0.1	0.6	0.1	0	0	2	1.2	0	5.4	0	0	0	0	0.1	3.9	4	1.8	0	0.5	0	1	0	0.2	0.8	0.4	0	0	1	0	0	1	0	130	6	8	3	3	0	0.3	2.3	22.5
19	21	1.7	0.1	0.3	0.6	1.1	0	0.1	0.2	0	0.6	2.6	1.2	0	4.3	0.1	0.5	0.9	0	0.1	4.4	2.7	0.9	0.2	0.1	0.1	1	0	0	0.5	0.3	0.1	0.1	1	0	0	1	0	108	6	15	10	3	1	0.6	3.8	29
20	22	1.5	0.3	0	0.2	0	0.1	1.7	0.1	0	0	2.2	1.4	0.3	4.2	0	0	0	0	0.2	2.8	2.7	3.7	0.3	0.1	0	1	0	0	0.2	0.1	0.2	0	1	0	0	1	0	110	6	14.5	4	3	0	0.9	3.2	38
