Pasture	ac	am	as	ca	co	com	con	cu	cy	eu	grcyn	grresto	hth	ir	la	le	ma	my	ox	pi	ru	rut	scr	so	vi	vit	Block	ALTITUDE	AGE	CATTLEINTENSITY	FIELDSLOPE	PLAGUE	BAREDSOIL	MAXVEGHEIGHT
14	14	0.8	0	0	0	0.3	0.4	0	0.3	1.8	1.1	1.4	2.8	0.3	0	5.4	1.3	1	0	0	0.6	0.8	0.3	0.2	0.3	0	0.4	1	196	3	10	19	1	0.8754687373539	36.5
19	19	0.9	0	0.3	0.1	0.9	0.2	0.6	0.1	3.4	1.3	0	4.4	0	0	3	2.1	2.6	0	0.3	0	1	0.1	0.6	0.6	0	0	1	148	5	2.5	11.5	1	0.993251773010283	22.5
20	20	0.9	0.2	0	0.1	0.6	0.1	0	0	2	1.2	0	5.4	0	0.1	3.9	4	1.8	0	0.5	0	1	0	0.8	0.4	0	0	1	130	6	8	3	0	0.262364264467491	22.5
21	21	1.7	0.1	0.6	0	0.1	0.2	0	0.6	2.6	1.2	0	4.3	0	0.1	4.4	2.7	0.9	0.2	0.1	0.1	1	0	0.5	0.3	0.1	0.1	1	108	6	15	10	1	0.470003629245736	29
22	22	1.5	0.3	0.2	0.1	1.7	0.1	0	0	2.2	1.4	0.3	4.2	0	0.2	2.8	2.7	3.7	0.3	0.1	0	1	0	0.2	0.1	0.2	0	1	110	6	14.5	4	0	0.641853886172395	38
13	13	0.1	0.7	0	0	1	0.2	0	0.2	1	0.7	3.2	1	0.1	0	4.8	0.6	0.9	0	0	0.5	0.9	0.1	0.1	0.5	0	0.3	2	240	1	3	18	0	1.52605630349505	40
15	15	0.5	0	0	0	0.1	0.1	0	0.4	2.2	0.9	4.2	3	0.4	0	3.8	1.2	0.5	0	0	0.4	1	0.1	0.3	0	0	0	2	208	2	5	12	1	0	36.5
16	16	0.3	0.2	0.2	0	0.9	1.3	0	0	1.1	1.3	2.9	3.9	0	0	2.6	4.2	2.5	0.1	0	0	1.1	0	0.8	0	0.4	0	2	146	3	12	6.6	1	0	33.5
17	17	0.3	0.1	0.3	0	0.9	0.9	0.1	0.3	2.2	1	5.2	2.5	0	0.1	2.3	2.5	1	0.1	0.1	0	1	0.1	0.6	0.1	0	0.2	2	180	5	5	7	1	0.182321556793955	38
18	18	0	0.1	0	0.1	0.6	0.4	0	0.4	1.4	1.2	4	4.3	0.1	0	2.4	2.6	0.9	0	0.4	0.1	0.8	0	0.7	0.3	0.3	0.4	2	140	6	30	3	0	0	47.5
3	3	0.6	0	0.3	0	0.5	0.1	0	0	2.2	0.9	0	5.6	0	0	2.8	4	1	0	0	0	1	0	0	0.1	0	0	3	120	3	8	10.2	0	0.095310179804325	18
6	6	1.6	0	0.5	0	1.1	0	0.1	0.1	3.2	1.1	0.2	5.7	0	0	2.4	3.4	1.5	0	0.2	0	1	0	0.3	0.3	0	0.9	3	136	6	3.5	16	1	0	29.5
7	7	0	0	0	0	0.4	0.3	0	0.1	2.5	1.1	0.1	4.3	0	0.1	3.9	1.6	0.5	0	0	0	0.7	0	0	0	0	0	3	98	8	25	0	1	0.262364264467491	29
11	11	0.7	0	0.7	0.1	1.1	0.1	0	0	1.5	0.8	0	5.9	0	0	1.3	1.2	1.3	0.1	0.1	0	1	0	0.6	0.2	0	0.1	3	168	7	20	15.5	1	0.587786664902119	12
12	12	0.3	0	0.1	0	0.7	0	0.2	0	0.8	1	2.8	5.7	0	0	2.1	2.1	1.3	0	0	0	0.7	0	0.8	0	0	0	3	104	6	8	0	1	0.336472236621213	30
4	4	0	0	0	0	0.3	0.6	0.4	0	1.9	0.7	5.3	3.8	0	0	2.5	1	0.2	0	0	0	0.1	0	0	0	0	0	4	170	2	25	0	0	0	52.5
5	5	0	0.1	0	0	3.6	1	0.5	0	0.5	1.2	3.7	3.4	0	0	0.5	2.5	0.3	0	0	0	0.5	0.1	0	0	0.1	0	4	170	2	25	0	0	0.587786664902119	70
8	8	0.2	0.2	0.1	0	0.7	0.1	0	0	2.2	0.9	3.8	4.1	0	0	2.9	2.5	1	0	0	0	0.8	0	0.3	0.1	0.2	0.1	4	112	5	25	0	0	0	36
9	9	1.3	0	0.5	0	0.5	0	0	0	2.4	0.4	5.6	2.5	0	0	1.7	1.3	1	0	0	0	0.9	0.1	0.2	0.5	0	0	4	382	3	25	13	0	0.182321556793955	45.5
10	10	1	0	0.7	0.1	1.7	0	0	0	2.7	1	3.4	4.4	0.1	0	2.3	1.7	1.1	0.2	0.4	0.1	1.1	0.2	0.6	0	0.2	0	4	320	4	12	13	1	0.262364264467491	37.5
