Year_code	Year	Gadwall	Goosander	Goldeneye	Mallard	Pochard	Pintail
6	1966 	100	100	100	100	100	100
6	1967 	78	405	75	73	129	88
6	1968 	167	338	55	66	142	67
6	1969 	67	338	59	56	118	60
7	1970 	444	505	106	60	112	116
7	1971 	400	505	85	55	156	111
7	1972 	356	324	99	57	184	132
7	1973 	144	300	91	51	191	77
7	1974 	367	243	74	55	217	137
7	1975 	200	600	92	48	219	157
7	1976 	100	305	72	39	93	151
7	1977 	222	481	74	41	175	107
7	1978 	300	286	83	61	106	86
7	1979 	389	405	109	53	60	89
8	1980 	467	524	84	67	80	96
8	1981 	289	405	90	42	32	115
8	1982 	533	462	91	51	109	75
8	1983 	467	695	78	47	135	162
8	1984 	511	400	72	48	98	21
8	1985 	367	538	99	59	47	88
8	1986 	889	614	107	55	68	99
8	1987 	478	838	116	55	62	69
8	1988 	356	648	113	56	85	119
8	1989 	700	1043	131	45	101	123
9	1990 	1333	586	131	49	88	157
9	1991 	456	829	131	46	85	135
9	1992 	767	624	153	45	64	86
9	1993 	856	567	120	42	55	107
9	1994 	1333	486	125	34	82	98
9	1995 	1322	695	156	38	96	140
9	1996 	956	838	151	37	68	131
9	1997 	1389	614	148	33	67	121
9	1998 	1744	619	140	42	38	123
9	1999 	1678	586	127	41	75	107
0	2000 	1111	476	114	35	56	123
