Period	Decade	AxisYear	Year	Month	SST_22_24	SST_24_26	SST_26_28	SST_28_30	SST_30_32	SST_32_34	SST_34_36	SST_36_38	SST_38_40	SST_40_42	SST_42_44	SST_44_46	SST_46_48	SST_Bight
1	40	1946	1946	1	21.37	20.25	17.15	16.06	15.63	13.64	13.75	12.83	12.55	10.87	10.63	10.34	9.43	14.17
2	40	1946.0833	1946	2	21.03	18.99	16.24	15.29	14.09	13.68	12.26	11.8	10.96	11.1	9.27	9.25	8.35	13.49
3	40	1946.167	1946	3	19.23	17.25	15.53	14.97	15.12	12.31	11.4	11.19	11.21	10	10	9.4	NA	13.32
4	40	1946.25	1946	4	20.97	16.59	15.36	15.2	14.78	13.6	12.47	12.59	11.21	NA	9.78	9.17	NA	15.31
5	40	1946.3333	1946	5	19.96	17.22	16.27	15.25	15.38	14.34	13.6	13.01	10.87	9.8	9.9	9.77	9.35	15.79
6	40	1946.417	1946	6	23.97	18.77	19.26	17.8	19.17	NA	NA	13.24	13.43	10.35	12.1	13.3	12.05	17.57
7	40	1946.5	1946	7	25.04	21.9	19.8	18.38	20	17.5	16.3	15.73	14.76	14.58	15.73	16.98	15.98	20.31
8	40	1946.5833	1946	8	NA	NA	NA	NA	NA	18.6	17.8	15.68	16.13	NA	NA	NA	NA	21.48
9	40	1946.667	1946	9	28.9	28.9	24.83	NA	19.4	17.68	NA	14.44	15.01	16.87	NA	15.6	NA	20.29
10	40	1946.75	1946	10	25.9	23.7	22	21.65	18.7	17.99	14.87	14.12	13.29	13.96	10.73	11.1	12.47	19.05
11	40	1946.8333	1946	11	24.4	22.08	20	19.6	17.23	14.88	13.3	10.68	NA	8.9	10	8.9	NA	16.18
12	40	1946.917	1946	12	22.66	20.66	19.32	17.6	16.44	14.35	13.44	12.41	11.38	11.13	10.2	10.37	9.07	14.6
13	40	1947	1947	1	21.83	19.07	16.7	16.26	15.6	14.15	13.75	12.23	12.46	10.59	9.8	8.92	8.12	14.75
14	40	1947.0833	1947	2	20.76	18.38	16.8	15.57	14.71	14.49	12.8	12.21	10	10.06	9.5	8.67	8.25	14.48
