Year	Station1	Station2	Station3	Station4	Station5	Station6	Station7	Station8	Station9	Station10	Station11	NAO
1960	84	NA	71	NA	79	71	NA	NA	NA	NA	NA	-3.2
1961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1
1962	74	92	80	NA	86	75	78	55	65	NA	NA	-0.4
1963	96	89	65	NA	69	71	70	81	69	NA	NA	-2.9
1964	58	76	71	NA	64	58	81	80	88	NA	NA	-2.2
1965	67	67	59	NA	64	71	77	65	76	NA	86	-2.7
1966	56	50	53	NA	56	49	69	75	84	NA	NA	-3
1967	42	37	34	74	34	38	41	62	53	51	59	1
1968	35	31	34	41	25	20	37	17	24	8	12	0.1
1969	37	35	42	41	35	24	50	50	43	20	NA	-4.7
1970	36	35	41	39	35	29	50	54	50	NA	NA	-1.5
1971	45	51	44	50	42	33	52	53	59	68	44	0
1972	37	38	31	44	34	27	39	41	39	48	60	1.1
1973	32	32	23	37	30	22	33	32	30	26	39	1.9
1974	30	35	26	36	35	22	44	51	46	58	60	2
1975	32	35	34	41	36	26	44	46	43	46	31	0.2
1976	29	36	35	37	31	22	38	41	46	40	48	2.1
1977	26	30	30	32	34	30	38	42	46	41	57	-1.7
1978	30	34	32	33	28	23	44	51	49	50	40	0.5
1979	36	39	23	40	33	29	36	40	34	26	45	-1.3
1980	40	51	42	46	33	29	49	60	69	47	32	-0.6
1981	33	52	39	48	43	28	52	56	70	57	50	0.6
1982	41	49	36	52	42	32	52	41	64	68	70	1.4
1983	35	48	42	52	42	39	48	44	54	59	49	1.7
1984	36	35	31	49	47	36	41	42	46	66	64	1.7
1985	48	47	44	62	51	72	56	56	73	55	73	-2
1986	43	52	57	54	54	66	66	77	69	58	63	1.5
1987	40	46	50	65	60	40	49	51	65	41	59	-2.2
1988	34	46	37	52	41	33	35	27	36	49	27	1.1
1989	28	39	32	46	31	27	35	36	37	41	43	4.5
1990	32	26	22	30	31	25	39	43	59	59	51	4.4
1991	35	33	36	39	30	24	40	56	62	54	56	0.6
1992	44	35	46	46	38	35	44	39	57	88	NA	1.5
1993	39	43	42	41	34	43	52	60	66	70	77	1.8
1994	27	37	32	33	37	42	45	57	50	35	44	2.9
1995	27	27	23	30	26	27	24	24	28	26	29	2.9
1996	27	35	30	39	38	34	40	33	43	28	36	-1.6
1997	26	25	22	32	31	26	37	41	63	71	24	1.3
1998	23	24	22	37	41	36	54	52	46	24	45	0.2
1999	22	27	31	37	42	34	46	55	56	41	13	0.2
