Time	Year	Month	SST	NAO
1945.00	1945.00	1.00	-0.45	-2.12
1945.08	1945.00	2.00	-0.49	4.67
1945.17	1945.00	3.00	-0.04	2.51
1945.25	1945.00	4.00	0.24	1.15
1945.33	1945.00	5.00	0.38	-0.84
1945.42	1945.00	6.00	0.58	0.37
1945.50	1945.00	7.00	1.33	-0.40
1945.58	1945.00	8.00	1.22	-1.83
1945.67	1945.00	9.00	0.76	1.40
1945.75	1945.00	10.00	0.68	-0.22
1945.83	1945.00	11.00	0.96	-1.82
1945.92	1945.00	12.00	0.62	-0.25
1946.00	1946.00	1.00	0.44	1.41
1946.08	1946.00	2.00	0.49	0.99
1946.17	1946.00	3.00	0.02	-0.39
1946.25	1946.00	4.00	0.22	0.65
1946.33	1946.00	5.00	0.57	-2.70
1946.42	1946.00	6.00	0.34	2.56
1946.50	1946.00	7.00	0.40	2.66
1946.58	1946.00	8.00	0.18	0.62
1946.67	1946.00	9.00	0.41	1.98
1946.75	1946.00	10.00	0.11	-2.04
1946.83	1946.00	11.00	0.19	-1.26
1946.92	1946.00	12.00	0.13	1.22
1947.00	1947.00	1.00	-0.29	0.39
1947.08	1947.00	2.00	-0.99	-4.60
1947.17	1947.00	3.00	-1.58	-1.28
1947.25	1947.00	4.00	-0.93	6.66
1947.33	1947.00	5.00	-0.47	-1.20
1947.42	1947.00	6.00	0.25	0.20
1947.50	1947.00	7.00	0.50	0.19
1947.58	1947.00	8.00	1.08	-1.08
1947.67	1947.00	9.00	1.16	1.18
1947.75	1947.00	10.00	0.26	-0.51
1947.83	1947.00	11.00	-0.25	-0.25
1947.92	1947.00	12.00	0.05	-0.72
1948.00	1948.00	1.00	-0.25	1.53
1948.08	1948.00	2.00	0.00	0.66
1948.17	1948.00	3.00	0.17	3.48
1948.25	1948.00	4.00	0.52	-0.48
1948.33	1948.00	5.00	0.58	-1.23
1948.42	1948.00	6.00	0.07	-0.27
1948.50	1948.00	7.00	-0.68	0.59
1948.58	1948.00	8.00	-0.44	0.34
1948.67	1948.00	9.00	-0.44	0.82
1948.75	1948.00	10.00	-0.33	0.43
1948.83	1948.00	11.00	-0.08	2.64
1948.92	1948.00	12.00	0.48	1.09
1949.00	1949.00	1.00	0.89	1.50
1949.08	1949.00	2.00	0.88	4.01
1949.17	1949.00	3.00	0.43	-0.96
1949.25	1949.00	4.00	0.58	3.41
1949.33	1949.00	5.00	0.30	-1.39
1949.42	1949.00	6.00	-0.32	-1.51
1949.50	1949.00	7.00	-0.27	-0.93
1949.58	1949.00	8.00	0.13	1.38
1949.67	1949.00	9.00	1.03	-1.81
1949.75	1949.00	10.00	1.00	1.38
