X	Y	code_spec	height	diameter
1	22.51	17.14	439	10	5
2	17.08	21.55	439	19	36
3	17.06	20.13	439	15	16
4	17.06	19.51	439	15	22
5	23.15	23.01	439	15	20
6	20.09	18.97	347	12	8
7	18.56	18.99	347	8	4
8	17.52	13.11	439	13	17
9	18.56	16.87	347	8	6
10	13.1	22.64	347	10	8
11	19.57	16.02	347	8	6
12	18.02	15.52	347	4	2
13	17.47	13.95	439	15	23
14	18.29	13.97	439	20	30
15	21.43	14.18	347	8	6
16	4.33	23.74	26	22	52
17	17.38	18.44	347	10	6
18	10.54	18.49	1388	0	0
19	8.55	21.98	439	15	22
20	8.28	21.55	439	5	8
21	5.45	21.96	347	5	4
22	4.95	18.97	347	5	4
23	7.25	20.5	347	4	4
24	10.02	20.98	347	8	5
25	18.59	23.85	439	12	20
26	8.49	18.72	347	5	2
27	16.67	22.98	439	15	22
28	10.52	17.26	1388	0	0
29	9.01	17.73	347	5	3
30	6.52	16.48	26	10	14
31	4.93	13.97	347	8	4
32	4.49	14.45	347	4	2
33	7.64	13.72	347	8	8
34	19.04	12.99	347	5	4
35	11.04	19.45	347	8	6
36	6.04	8.42	439	8	10
37	13.18	5.98	439	15	18
38	16.83	4.23	26	20	55
39	16.08	6.12	439	7	5
40	21.03	4.23	26	17	52
41	8	5	26	15	32
42	9.64	6.51	1388	17	24
43	15.57	13.49	347	8	6
44	6.06	7.42	439	8	12
45	20.59	7.17	439	15	28
46	6.49	8.99	439	17	46
47	7.43	10.73	26	20	62
48	5.01	10.46	439	20	42
49	8.34	11.44	1388	12	18
50	7.2	12.35	439	17	44
51	7.22	12.87	1388	5	4
52	6.06	7.06	439	10	12
53	12.54	9.73	439	10	12
54	20.53	12.67	347	12	11
55	19.48	11.98	347	6	4
56	19.02	11	347	10	10
57	20.55	11.23	347	0	0
58	14.57	12.46	347	8	6
59	14.52	10.98	347	5	4
60	12.79	5.46	439	13	12
61	12.01	11.44	347	5	4
62	12.42	5.94	439	15	18
63	12.95	9.27	347	6	5
64	15.48	8.49	439	6	4
65	15.96	8.7	439	13	10
66	15.89	7.6	347	4	3
67	19.77	7.12	439	13	14
68	20.14	7.53	439	13	14
69	23.86	3.98	347	10	5
70	13.04	11	347	8	6
