Sample	FGal	FPag	FPor	FHipp	FCra	FPro	FPan	FAlp	FCall	FUpo	FLao	FNep	T1m	T45.35m	S1m	S45.35m	Ch0.10m	Year	Location
1	34.08	0.00	0.00	56.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.84	6.49	34.14	34.31	0.93	2002.00	1.00
2	113.61	11.36	0.00	39.76	34.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.78	6.74	34.32	34.30	0.55	2002.00	1.00
3	289.70	0.00	0.00	22.72	39.76	0.00	5.68	0.00	0.00	0.00	0.00	0.00	8.62	8.63	34.42	34.43	2.65	2002.00	1.00
4	45.44	45.44	0.00	34.08	22.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.13	8.99	34.45	34.47	3.06	2002.00	1.00
5	51.12	22.72	11.36	17.04	28.40	28.40	11.36	0.00	0.00	0.00	0.00	0.00	10.23	10.75	34.63	34.69	1.88	2002.00	1.00
6	0.00	0.00	22.72	22.72	11.36	0.00	11.36	0.00	0.00	0.00	0.00	0.00	11.41	10.96	34.53	34.62	0.65	2002.00	1.00
7	5.68	0.00	51.12	51.12	22.72	51.12	0.00	0.00	34.08	0.00	0.00	0.00	12.87	12.25	33.66	34.76	2.08	2002.00	1.00
8	0.00	11.36	79.53	11.36	0.00	0.00	0.00	0.00	11.36	0.00	0.00	0.00	12.79	12.52	34.30	34.60	2.31	2002.00	1.00
9	658.93	68.17	488.52	0.00	45.44	56.80	0.00	0.00	11.36	0.00	0.00	0.00	13.82	13.02	34.45	34.70	2.12	2002.00	1.00
10	113.61	11.36	176.09	79.53	5.68	0.00	0.00	0.00	5.68	0.00	0.00	0.00	13.65	13.46	34.61	34.68	1.85	2002.00	1.00
11	22.72	34.08	1601.89	22.72	56.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.58	13.58	34.67	34.67	1.62	2002.00	1.00
12	187.45	51.12	5.68	5.68	5.68	5.68	62.48	0.00	28.40	28.40	0.00	0.00	13.87	13.82	34.61	34.72	2.01	2002.00	1.00
13	34.08	45.44	45.44	11.36	11.36	0.00	0.00	0.00	22.72	0.00	0.00	0.00	13.67	13.47	34.71	34.75	1.20	2002.00	1.00
14	11.36	11.36	22.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.46	13.44	34.73	34.73	0.68	2002.00	1.00
15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.91	11.60	34.21	34.44	0.50	2002.00	1.00
16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.21	10.44	34.45	34.70	0.23	2002.00	1.00
17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.63	9.23	33.28	34.51	0.15	2002.00	1.00
18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.73	8.25	34.45	34.69	0.16	2003.00	1.00
19	0.00	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.73	7.86	34.60	34.67	0.16	2003.00	1.00
20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.50	6.54	34.48	34.48	0.17	2003.00	1.00
21	0.00	0.00	0.00	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.04	6.10	34.52	34.53	0.24	2003.00	1.00
22	0.00	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.20	6.18	34.58	34.58	0.30	2003.00	1.00
23	204.50	0.00	0.00	0.00	0.00	0.00	204.50	0.00	0.00	0.00	0.00	0.00	6.66	6.67	34.64	34.56	0.70	2003.00	1.00
