Transect	Sex	Capitula	Time	Temperature	PercFlower	Bees	AMPM	TimeC	TimeUnit
1	1	1	7	21.2	0	0.5	0	7	1
1	1	1	7	21.2	0	0.5	1	7.5	2
1	1	2	7	21.2	12.55215	0.5	0	7	1
1	1	2	7	21.2	12.55215	0.5	1	7.5	2
1	1	3	7	21.2	2.1666	1.5	0	7	1
1	1	3	7	21.2	2.1666	1	1	7.5	2
1	1	4	7	21.2	16.60275	0.5	0	7	1
1	1	4	7	21.2	16.60275	1.5	1	7.5	2
1	1	5	7	21.2	0	0.5	0	7	1
1	1	5	7	21.2	0	0.5	1	7.5	2
2	1	1	7	21.2	0	0.5	0	7	1
2	1	1	7	21.2	0	0.5	1	7.5	2
2	1	2	7	21.2	20.41	1	0	7	1
2	1	2	7	21.2	20.41	0.5	1	7.5	2
2	1	3	7	21.2	13.345	1.5	0	7	1
2	1	3	7	21.2	13.345	0.5	1	7.5	2
2	1	4	7	21.2	17.584	1.5	0	7	1
2	1	4	7	21.2	17.584	0	1	7.5	2
2	1	5	7	21.2	12.36375	0	0	7	1
2	1	5	7	21.2	12.36375	0.5	1	7.5	2
3	1	1	7	21.2	0	0.5	0	7	1
3	1	1	7	21.2	0	0.5	1	7.5	2
3	1	2	7	21.2	1.6014	0.5	0	7	1
3	1	2	7	21.2	1.6014	0	1	7.5	2
3	1	3	7	21.2	9.53775	0.5	0	7	1
3	1	3	7	21.2	9.53775	0.5	1	7.5	2
3	1	4	7	21.2	9.25515	0.5	0	7	1
3	1	4	7	21.2	9.25515	0.5	1	7.5	2
3	1	5	7	21.2	9.5456	0.5	0	7	1
3	1	5	7	21.2	9.5456	0.5	1	7.5	2
4	1	1	7	21.2	30.41875	1	0	7	1
4	1	1	7	21.2	30.41875	0	1	7.5	2
4	1	2	7	21.2	6.7824	0.5	0	7	1
4	1	2	7	21.2	6.7824	0.5	1	7.5	2
4	1	3	7	21.2	3.3912	0.5	0	7	1
4	1	3	7	21.2	3.3912	0.5	1	7.5	2
4	1	4	7	21.2	5.29875	0.5	0	7	1
4	1	4	7	21.2	5.29875	0.5	1	7.5	2
4	1	5	7	21.2	11.13915	0	0	7	1
4	1	5	7	21.2	11.13915	1	1	7.5	2
5	1	1	7	21.2	6.20935	0	0	7	1
5	1	1	7	21.2	6.20935	0.5	1	7.5	2
5	1	2	7	21.2	12.4344	0.5	0	7	1
5	1	2	7	21.2	12.4344	0.5	1	7.5	2
5	1	3	7	21.2	0	0.5	0	7	1
5	1	3	7	21.2	0	0.5	1	7.5	2
5	1	4	7	21.2	8.792	0.5	0	7	1
5	1	4	7	21.2	8.792	0	1	7.5	2
5	1	5	7	21.2	23.864	0.5	0	7	1
5	1	5	7	21.2	23.864	0.5	1	7.5	2
6	0	1	7	21.2	14.5696	0.5	0	7	1
6	0	1	7	21.2	14.5696	0	1	7.5	2
6	0	2	7	21.2	19.53865	0.5	0	7	1
6	0	2	7	21.2	19.53865	0.5	1	7.5	2
6	0	3	7	21.2	13.74535	0	0	7	1
6	0	3	7	21.2	13.74535	1	1	7.5	2
6	0	4	7	21.2	14.4126	0	0	7	1
6	0	4	7	21.2	14.4126	0.5	1	7.5	2
6	0	5	7	21.2	21.98	0.5	0	7	1
6	0	5	7	21.2	21.98	0.5	1	7.5	2
7	0	1	7	21.2	7.6616	0.5	0	7	1
7	0	1	7	21.2	7.6616	0	1	7.5	2
7	0	2	7	21.2	12.34805	0	0	7	1
7	0	2	7	21.2	12.34805	0	1	7.5	2
7	0	3	7	21.2	2.8888	0.5	0	7	1
7	0	3	7	21.2	2.8888	0.5	1	7.5	2
7	0	4	7	21.2	3.7052	0.5	0	7	1
7	0	4	7	21.2	3.7052	0.5	1	7.5	2
7	0	5	7	21.2	7.13565	0.5	0	7	1
7	0	5	7	21.2	7.13565	0.5	1	7.5	2
1	1	1	8	19.8	6.75885	2	0	8	3
1	1	1	8	19.8	6.75885	1	1	8.5	4
1	1	2	8	19.8	18.84	2.5	0	8	3
1	1	2	8	19.8	18.84	3	1	8.5	4
1	1	3	8	19.8	17.48195	1.5	0	8	3
1	1	3	8	19.8	17.48195	2.5	1	8.5	4
1	1	4	8	19.8	29.0136	2	0	8	3
1	1	4	8	19.8	29.0136	2	1	8.5	4
1	1	5	8	19.8	12.246	2.5	0	8	3
1	1	5	8	19.8	12.246	1	1	8.5	4
2	1	1	8	19.8	13.4078	1.5	0	8	3
2	1	1	8	19.8	13.4078	3	1	8.5	4
2	1	2	8	19.8	28.91155	1	0	8	3
2	1	2	8	19.8	28.91155	2	1	8.5	4
2	1	3	8	19.8	26.54085	1.5	0	8	3
2	1	3	8	19.8	26.54085	1.5	1	8.5	4
2	1	4	8	19.8	35.81955	3	0	8	3
2	1	4	8	19.8	35.81955	2.5	1	8.5	4
2	1	5	8	19.8	18.23555	3.5	0	8	3
2	1	5	8	19.8	18.23555	1.5	1	8.5	4
3	1	1	8	19.8	7.1592	3.5	0	8	3
3	1	1	8	19.8	7.1592	1.5	1	8.5	4
3	1	2	8	19.8	11.6494	1.5	0	8	3
3	1	2	8	19.8	11.6494	2	1	8.5	4
3	1	3	8	19.8	20.73185	3	0	8	3
3	1	3	8	19.8	20.73185	1.5	1	8.5	4
3	1	4	8	19.8	14.8208	1.5	0	8	3
3	1	4	8	19.8	14.8208	2.5	1	8.5	4
3	1	5	8	19.8	17.48195	1	0	8	3
3	1	5	8	19.8	17.48195	2.5	1	8.5	4
4	1	1	8	19.8	53.49775	2.5	0	8	3
4	1	1	8	19.8	53.49775	1	1	8.5	4
4	1	2	8	19.8	19.82125	2	0	8	3
4	1	2	8	19.8	19.82125	2.5	1	8.5	4
4	1	3	8	19.8	14.0672	1	0	8	3
