id	g4txt	groups	g4	g9	exclude	EPT	TKQ	TKT	AVV	VEL	MXA	AREA	MAXREF	TRKDIS	MAXSEG	ORIENT	ELLRATIO	ELONG	COMPACT	CHY	MAXREF1	MINREF	SDREF	PERI	ELLMAJ	ELLMIN	STT	HEYW	HYDROR	WADDEL	AVINT	MAXINT	CHX	AVREF	RREF	flocksize	MINDIST	DIST	BEAR	HEAD
29	bird	alcids	4	4	0	6	2	1	43.17	49	9	5	1072	31900	2	125.37	3.66	16.67	0.42	1.67	861	541	139	11.12	4.83	1.32	12	1.4	0.45	2.52	0.3	5	1.25	683	320	1	751.26	751.26	307	129
30	bird	alcids	4	4	0	12	2.17	1	41.42	61	49	7	1512	40254	3	40.41	3.15	21.33	0.44	1.75	1359	733	252	12.35	5.3	1.68	26	1.32	0.57	2.99	0.27	5.66	1.75	955	626	1	904.13	1543.5	339	354
35	bird	alcids	4	4	0	5	2.4	1	46	55	31	9	1317	35935	2	63.16	3.2	10.25	0.45	2.25	1317	1016	484	14.09	6.06	1.89	12	1.33	0.64	3.39	0.62	6.4	1.8	1147	301	1	1093.89	1093.89	293	355
36	bird	alcids	4	4	0	6	1.83	1	34.67	33	15	5	1074	21741	1	107.27	4.17	19.33	0.5	2.5	714	639	156	11.77	5.15	1.24	11	1.49	0.42	2.52	0.28	5.39	1	678	75	1	2153.67	2186.4	71	230
37	bird	alcids	4	4	0	12	1.92	1	40.33	37	31	6	1533	24210	3	136.83	2.36	5.2	0.67	2	967	676	198	10.24	4.25	1.8	23	1.18	0.59	2.76	0.69	3.61	2	844	291	1	618.06	618.06	189	356
38	bird	alcids	4	4	0	15	2.2	1	46.53	39	28	21	1086	25823	8	166.82	3.18	4.06	0.53	2.63	930	453	114	21.48	9.23	2.9	33	1.32	0.98	5.17	2.11	8.54	4.2	708	477	1	913.42	1733.82	6	40
39	bird	alcids	4	4	0	22	2.09	1	49.59	61	38	6	1355	40064	2	76.57	2.78	10	0.75	3	935	695	119	10.88	4.61	1.66	46	1.25	0.55	2.76	0.45	4.47	1.5	772	240	1	895.55	1533.42	266	238
43	bird	alcids	4	4	0	3	3.33	3	65.67	60	6	6	1207	39590	3	30.96	2.94	8	0.5	1.5	831	545	105	11.12	4.74	1.61	10	1.28	0.54	2.76	0.56	4.47	2	745	286	1	832.54	832.54	167	181
45	bird	alcids	4	4	0	11	2.55	1	46.36	66	25	8	1438	43340	4	144.59	2.95	5.56	0.5	2	1115	603	291	12.86	5.48	1.86	28	1.28	0.62	3.19	0.9	5	2	888	512	1	777.76	777.76	173	248
50	bird	alcids	4	4	0	5	3.2	3	52	48	23	11	1292	31425	4	164.95	2.14	4.55	0.92	2.75	870	498	204	13.41	5.47	2.56	16	1.14	0.82	3.74	1.1	5	3.67	656	372	1	1453.76	1453.76	293	224
51	bird	alcids	4	4	0	7	3	3	59.86	69	33	33	1316	45144	8	176.5	2.67	3.63	0.83	4.13	1316	30	284	25.14	10.6	3.96	21	1.23	1.31	6.48	2.6	9.43	6.6	842	1286	1	664.21	1125.21	169	155
54	bird	divers	4	5	0	3	1.67	1	51	47	12	7	869	30808	2	64.59	3.64	17	0.47	2.33	869	490	177	13.12	5.69	1.57	5	1.4	0.53	2.99	0.34	5.83	1.4	657	379	1	1726.79	1918.75	112	213
55	bird	divers	4	5	0	5	2.6	1	60.4	65	45	15	1248	42675	4	96.47	3.97	5.2	0.47	3.75	1023	542	391	19.95	8.71	2.19	13	1.45	0.75	4.37	1.55	8.06	1.88	765	481	2	1832.78	1868.13	274	208
56	bird	divers	4	5	0	6	2.83	1	50.5	44	104	53	2360	29099	10	36.53	4.76	3.1	0.4	4.82	967	35	245	40.68	17.92	3.77	17	1.58	1.3	8.21	4.65	14.42	4.42	602	932	4	2483.82	2517.12	275	207
57	bird	divers	4	5	0	6	2.83	1	50.5	44	104	53	2360	613	10	36.53	4.76	3.1	0.4	4.82	967	35	245	40.68	17.92	3.77	17	1.58	1.3	8.21	4.65	14.42	4.42	602	932	4	172.78	186.74	205	205
58	bird	divers	4	5	0	6	2.5	1	68.5	71	18	11	1264	980	3	78.42	3.13	6.17	0.61	3.67	769	417	149	15.44	6.62	2.11	15	1.31	0.71	3.74	0.99	6.08	1.83	629	352	2	179.73	298.75	229	229
59	bird	divers	4	5	0	7	2.57	1	49.14	54	12	8	1140	35412	4	14.04	2.99	6.44	0.53	1.6	929	609	152	12.93	5.52	1.84	18	1.29	0.62	3.19	0.84	5.39	2.67	728	320	1	1078.8	1145.28	276	208
60	bird	divers	4	5	0	8	1.63	1	53.75	56	32	16	1481	36979	5	62.45	2.49	2.96	0.64	3.2	1109	492	325	17.05	7.12	2.86	13	1.2	0.94	4.51	1.97	5.83	3.2	818	617	2	795.42	947.21	259	197
61	bird	divers	4	5	0	8	2.75	1	61.13	66	17	11	1521	43292	5	152.71	2.84	4.86	0.55	2.2	819	502	121	14.86	6.31	2.22	22	1.26	0.74	3.74	1.2	5.83	2.75	653	317	1	681.19	722.18	142	202
62	bird	divers	4	5	0	9	1.67	1	46.11	43	42	13	1449	27912	5	25.37	3.26	6	0.54	2.17	859	453	111	17.07	7.35	2.25	15	1.34	0.76	4.07	1.12	6.71	3.25	661	406	1	1370.24	1570.35	339	350
63	bird	divers	4	5	0	10	2	1	56.4	54	19	6	1127	35365	2	45	3.97	12.8	0.38	1.5	920	594	137	12.62	5.51	1.39	20	1.45	0.48	2.76	0.44	5.66	1.5	774	326	1	1324.55	1376.5	307	202
64	bird	divers	4	5	0	10	2.9	1	53	41	15	13	1256	27058	4	120.82	2.83	4.82	0.65	3.25	872	308	153	16.12	6.84	2.42	29	1.26	0.81	4.07	1.33	6.4	2.6	657	564	1	503.97	1074.38	12	149
65	bird	divers	4	5	0	11	2.82	1	42.45	69	26	15	1084	44906	5	39.03	2.96	4.32	0.5	2.5	1015	478	247	17.62	7.51	2.54	31	1.28	0.85	4.37	1.48	6.4	3	698	537	1	1746.46	1909.37	305	214
66	bird	divers	4	5	0	12	1.25	1	54.25	54	35	13	1356	35080	4	123.33	3.22	5.13	0.52	2.6	817	224	172	16.99	7.3	2.27	15	1.33	0.77	4.07	1.25	6.4	2.6	628	593	2	1137.62	1157.32	286	198
67	bird	divers	4	5	0	17	1.65	1	62.47	42	40	14	1781	27248	4	151.03	2.35	3.78	0.7	2.8	1120	521	234	15.64	6.48	2.75	28	1.18	0.9	4.22	1.54	5.83	3.5	853	599	5	843.27	1365.23	254	46
68	bird	divers	4	5	0	36	2.08	1	52.67	50	72	49	1593	32944	6	103.27	4.28	8.2	0.47	6.13	1298	24	314	37.29	16.35	3.82	75	1.5	1.31	7.9	1.93	15.81	3.27	734	1274	3	863.2	1101.19	193	50
70	bird	divers	4	5	0	4	3	2	65	57	29	15	942	24827	3	54.27	3.95	9.25	0.43	3	853	469	106	19.9	8.68	2.2	12	1.45	0.75	4.37	0.93	8.6	2.14	732	384	2	2974.94	2987.37	307	205
74	bird	divers	4	5	0	26	1.96	1	56.08	39	29	10	1655	25396	2	113.74	3.07	11.25	0.56	3.33	966	635	100	14.6	6.25	2.04	51	1.3	0.68	3.57	0.6	6.71	1.67	806	331	4	735.59	1452.89	242	257
75	bird	divers	4	5	0	30	1.57	1	48.97	47	49	8	1520	31140	3	126.14	3.21	10.67	0.5	2	769	542	98	13.31	5.72	1.78	47	1.33	0.6	3.19	0.53	5.66	2	670	227	5	1277.61	1646.26	256	226
78	bird	divers	4	5	0	22	2.23	1	53	48	77	77	1407	31615	14	161.27	4.87	2.25	0.37	5.13	1000	103	213	49.54	21.85	4.49	49	1.59	1.55	9.9	6.8	15.3	4.81	637	897	5	1269.35	1740.59	261	185
79	bird	divers	4	5	0	3	1.67	1	41.67	39	15	15	1072	25823	4	127.59	2.26	3.09	0.6	3	1036	360	210	15.95	6.57	2.91	5	1.16	0.94	4.37	1.89	5.83	3	690	676	1	1089.3	1179.64	325	202
80	bird	divers	4	5	0	9	2.33	1	44.44	43	18	11	1086	27912	3	53.27	2.95	5.23	0.55	2.75	971	282	196	15.07	6.42	2.18	21	1.28	0.73	3.74	1.11	5.83	2.2	751	689	1	1127.08	1271.22	143	236
