Stock   Sample  Length  Sex Age A.solomoni  A.serenum   Goussia Anisakis    Hystero.L   Hystero.A   Tergestia   Derogenes Ectenurus Pseudaxine  Gastrocotyle    Heteraxinoides
WESTERN 2 280 1   7   0 1   1   0   103 0   21  0   0   0   0   0
WESTERN 2 258 1   7   0 0   0   84  15  0   0   0   0   0   0   0
WESTERN 2 282 2   7   0 0   1   4   95  0   0   0   0   0   0   0
WESTERN 2 301 1   7   0 0   1   3   33  0   1   0   0   0   0   0
WESTERN 2 280 2   8   0 0   1   9   24  0   0   0   0   0   0   0
WESTERN 2 280 2   8   0 0   1   9   28  0   2   0   0   0   0   0
WESTERN 2 370 2   8   0 0   0   60  9   0   0   0   0   0   0   0
WESTERN 2 309 1   8   0 0   1   5   36  0   0   0   0   0   0   0
WESTERN 2 271 1   8   0 0   1   16  56  0   0   0   0   0   0   0
WESTERN 2 318 1   9   0 0   1   9   19  0   0   0   0   0   0   0
WESTERN 2 337 2   9   0 0   1   59  146 0   0   0   0   0   0   0
WESTERN 2 340 2   10  0 0   1   282 217 0   0   0   0   0   0   0
WESTERN 2 295 1   10  0 1   1   12  91  0   0   0   0   0   0   0
WESTERN 2 335 1   10  0 1   0   49  28  0   0   0   0   0   0   0
WESTERN 2 314 1   11  0 0   1   24  7   0   0   0   0   0   0   0
WESTERN 2 334 1   11  0 0   0   0   31  0   0   0   0   0   0   0
WESTERN 2 315 1   11  0 0   1   41  25  0   0   0   0   0   0   0
WESTERN 2 380 2   13  0 0   0   278 13  0   0   0   0   0   0   0
WESTERN 2 350 1   14  0 1   1   20  44  0   0   0   0   0   0   0
WESTERN 2 330 1   15  0 0   1   63  69  0   0   0   0   0   0   0
WESTERN 2 340 2   15  0 0   1   171 153 0   0   0   0   0   0   0
WESTERN 2 350 1   15  0 0   0   100 27  0   0   0   0   0   0   0
WESTERN 2 330 2   15  0 0   0   108 39  0   0   0   0   0   0   0
WESTERN 2 365 2   15  0 0   0   240 4   0   0   0   0   0   0   0
WESTERN 2 350 1   16  0 0   0   77  9   0   0   0   0   0   0   0
WESTERN 2 350 1   16  0 0   0   284 41  0   0   0   0   0   0   0
WESTERN 2 360 1   19  0 0   0   358 29  0   0   0   0   0   0   0
WESTERN 2 390 1   19  0 0   0   529 0   0   0   0   0   0   0   0
WESTERN 2 340 1   19  0 0   0   207 15  0   0   0   0   0   0   0
WESTERN 2 346 1   19  0 1   0   423 7   0   0   0   0   0   0   0
WESTERN 2 360 1   19  0 1   0   346 46  0   0   0   0   0   0   0
WESTERN 2 366 1   19  0 1   1   67  5   0   0   0   0   0   0   0
WESTERN 2 365 2   19  0 0   0   153 74  0   4   0   0   0   0   0
WESTERN 2 340 2   19  0 0   1   236 53  0   0   0   0   0   0   0
WESTERN 3 200 3   2   0 0   0   5   16  0   0   0   0   0   0   0
WESTERN 3 271 2   4   0 1   1   11  24  0   0   0   0   0   0   0
WESTERN 3 284 1   4   0 0   1   5   35  0   0   0   0   0   0   0
WESTERN 3 259 2   4   0 0   1   9   21  0   0   0   0   0   1   0
WESTERN 3 250 1   5   0 0   0   14  62  0   0   0   0   0   0   0
WESTERN 3 259 2   5   0 0   1   4   39  0   0   0   0   0   0   0
WESTERN 3 257 2   5   0 0   1   14  32  0   0   0   0   0   0   0
WESTERN 3 266 1   5   0 0   1   34  32  0   0   0   0   0   0   0
WESTERN 3 256 1   6   0 0   1   9   79  0   0   0   0   0   0   0
WESTERN 3 257 2   6   0 0   0   14  27  0   0   0   0   0   0   0
WESTERN 3 286 2   6   0 0   1   4   37  0   4   0   0   0   0   0
WESTERN 3 268 1   6   0 0   0   126 5   0   0   0   0   0   0   0
WESTERN 3 268 2   6   0 0   1   19  133 0   0   0   0   0   0   0
WESTERN 3 258 1   7   0 0   0   4   25  0   0   0   0   0   0   0
WESTERN 3 259 1   7   0 0   1   11  36  0   0   0   0   0   3   0
WESTERN 3 251 1   7   0 0   0   7   45  0   0   0   0   0   2   0
WESTERN 3 255 1   7   0 1   1   0   8   0   0   0   0   0   1   0
WESTERN 3 254 1   7   0 1   1   37  0   0   0   0   0   0   0   0
WESTERN 3 267 1   7   0 0   1   164 65  0   0   0   0   0   0   0
WESTERN 3 269 1   7   0 0   0   4   164 0   0   0   0   0   0   0
WESTERN 3 251 1   7   0 0   1   9   59  0   0   0   0   0   0   0
WESTERN 3 255 1   7   0 0   1   36  72  0   0   0   0   0   0   0
WESTERN 3 259 1   7   0 0   1   18  66  0   0   0   0   0   0   0
WESTERN 3 278 2   7   0 1   1   8   30  0   0   0   0   0   0   0
WESTERN 3 254 1   7   0 0   1   5   41  0   0   0   0   0   0   0
WESTERN 3 252 2   7   0 0   1   6   23  0   0   0   0   0   0   0
WESTERN 3 264 2   7   0 0   1   74  89  0   0   0   0   0   0   0
WESTERN 3 253 1   7   0 0   0   0   29  0   0   0   0   0   0   0
WESTERN 3 254 1   7   0 0   1   7   9   0   0   0   0   0   0   0
WESTERN 3 256 1   7   0 0   1   14  126 0   0   0   0   0   0   0
WESTERN 3 249 1   7   0 0   1   6   60  0   0   0   0   0   0   0
WESTERN 3 279 2   7   0 0   1   5   33  1   3   0   0   0   0   0
WESTERN 3 281 1   7   0 0   1   103 68  0   2   0   0   0   0   0
WESTERN 3 298 1   7   0 0   1   5   37  0   0   0   0   0   0   0
WESTERN 3 252 1   8   0 0   1   6   7   0   0   0   0   0   0   0
WESTERN 3 249 2   8   0 0   1   4   62  0   0   0   0   0   0   0
WESTERN 3 260 1   8   0 0   1   5   27  0   0   0   0   0   0   0
WESTERN 3 252 2   8   0 1   1   8   35  0   0   0   0   0   0   0
WESTERN 3 260 2   8   0 0   1   11  42  0   0   0   0   0   0   0
WESTERN 3 257 2   8   0 0   1   7   52  0   0   0   0   0   0   0
WESTERN 3 254 1   8   0 0   1   16  36  0   0   0   0   0   1   0
WESTERN 3 272 2   8   0 1   1   19  81  0   0   0   0   0   0   0
WESTERN 3 286 2   8   0 0   1   8   50  0   0   0   0   0   0   0
WESTERN 3 254 2   8   0 0   1   5   20  0   0   0   0   0   0   0
WESTERN 3 244 1   8   0 0   1   36  72  0   0   0   0   0   0   0
WESTERN 3 256 1   8   0 1   1   19  56  0   0   0   0   0   0   0
WESTERN 3 257 1   8   0 0   1   12  30  0   0   0   0   0   0   0
WESTERN 3 254 1   8   0 0   1   7   44  0   0   0   0   0   1   0
WESTERN 3 258 2   8   0 0   1   29  71  0   0   0   0   0   0   0
WESTERN 3 295 1   8   0 0   1   14  9   0   0   0   0   0   0   0
WESTERN 3 249 1   8   0 0   1   2   36  0   0   0   0   0   0   0
WESTERN 3 263 2   8   0 0   0   133 55  0   0   0   0   0   0   0
WESTERN 3 285 1   8   0 0   1   7   22  1   0   0   0   0   0   0
WESTERN 3 302 1   8   0 0   1   57  23  0   0   0   0   0   0   0
WESTERN 3 309 2   8   0 0   0   63  32  0   0   0   0   0   0   0
WESTERN 3 298 2   8   0 1   1   12  102 0   0   0   0   0   0   0
WESTERN 3 277 2   8   0 0   1   39  102 0   0   0   0   0   0   0
WESTERN 3 274 1   8   0 0   1   6   63  0   0   0   0   0   0   0
WESTERN 3 305 1   8   0 0   1   16  5   0   0   0   0   0   0   0
WESTERN 3 260 2   8   0 0   1   107 52  0   0   0   0   0   0   0
WESTERN 3 301 1   8   0 0   0   18  5   0   0   0   0   0   0   0
WESTERN 3 255 1   9   0 0   1   21  22  0   0   0   0   0   0   0
WESTERN 3 255 1   9   0 1   1   7   5   0   0   0   0   0   0   0
