Site	Acamac  	Bomcos  	Comglu  	Comnig  	Corpin  	Danoli  	Detmic  	Lanaci  	Proafr  	Pteeri  	Sclbir  	Seclon  	Steset  	Strspi  	Termac  	Xerstu  	strata	band1	band2	band3	band4	band5	band7	brightness	greeness	wetness	ratio72	savi	ndvi	Cl1	Cl2	DeadTrunks
PS113	0	3	13	0	4	0	1	2	0	0	0	1	2	1	3	3	0	83.884	62.898	52.275	120.608	74.420	36.927	171.710	21.144	19.811	73.304	73.884	49.420	157	369	0
PS117	35	1	94	3	11	0	4	2	0	0	0	0	0	0	12	4	0	82.768	60.797	49.536	120.115	75.695	36.768	169.855	23.101	17.463	75.724	77.739	52.014	317	1112	0
PS12	0	1	34	3	0	7	2	4	1	1	0	1	0	1	1	1	0	84.449	64.014	52.869	125.217	76.942	37.884	176.260	23.768	19.971	73.840	75.913	50.739	214	664	0
PS123	3	0	3	45	1	0	0	0	0	0	0	0	0	0	0	0	0	84.661	63.411	53.632	121.897	84.955	43.029	179.102	20.720	11.838	84.764	72.676	48.632	186	1121	0
PS125	2	1	52	0	5	0	8	1	0	1	0	0	0	1	8	2	0	85.362	63.942	53.478	125.202	81.057	40.159	179.014	23.072	16.753	78.492	75.000	50.115	164	596	0
PS127	1	0	43	1	1	0	0	2	0	0	1	0	0	1	0	0	0	85.217	64.666	53.913	122.086	81.753	41.000	179.260	20.376	15.173	79.260	72.304	48.391	176	289	0
PS128	11	3	29	4	8	4	0	2	1	0	0	0	0	0	40	0	0	83.985	62.264	51.367	122.661	73.294	36.029	171.573	23.264	21.279	72.441	76.558	51.294	374	513	5
PS130	3	1	29	4	4	0	0	1	1	0	1	0	3	0	0	2	0	84.285	64.857	53.342	131.200	71.928	35.185	177.242	27.657	26.500	67.542	78.857	52.742	192	409	1
PS132	1	0	16	4	2	0	0	1	0	0	0	8	0	0	5	2	0	83.942	64.391	53.913	127.391	72.434	35.884	175.550	24.826	24.652	69.391	75.710	50.623	428	887	2
PS133	1	0	41	0	2	0	0	0	2	0	0	1	0	0	0	0	0	84.000	64.072	52.956	126.753	70.058	34.202	173.333	25.014	26.231	66.478	76.782	51.347	242	342	1
PS134	2	1	26	6	1	0	0	3	0	0	0	0	1	0	5	0	0	83.928	63.485	52.771	124.885	69.314	34.157	171.728	23.828	25.871	67.100	75.800	50.728	222	941	0
PS136	0	0	26	9	3	0	0	1	1	0	0	0	0	0	1	0	0	84.289	64.971	53.521	131.536	70.898	34.362	177.000	27.913	27.637	65.855	78.797	52.623	421	530	0
PS138	8	1	46	9	3	4	1	1	0	0	0	1	1	1	21	0	0	84.130	63.797	52.507	130.349	69.942	33.695	175.057	28.086	27.565	65.768	79.666	53.289	504	965	0
PS139	2	0	11	5	0	0	1	5	2	0	2	8	0	0	2	0	0	84.942	64.536	54.130	126.478	86.115	43.057	182.782	23.449	13.130	83.449	74.869	50.101	290	951	0
PS141	0	0	12	1	1	2	0	2	0	0	3	5	0	0	0	0	0	84.405	63.797	52.144	133.739	82.217	39.565	183.260	30.521	18.594	77.391	82.028	54.913	205	1511	0
PS15	5	1	29	6	1	0	0	3	0	0	0	0	1	2	1	0	0	83.826	63.623	52.391	130.608	73.710	35.898	177.000	28.260	24.275	70.340	79.927	53.434	349	622	0
PS17	4	0	12	0	1	0	0	3	0	0	0	0	1	0	21	0	0	84.014	63.257	51.400	127.242	72.214	35.257	173.785	26.428	23.957	69.514	79.357	53.142	163	469	0
PS22	1	3	28	50	5	15	0	4	0	16	0	6	1	0	15	1	1	83.471	61.085	50.900	111.028	69.671	34.371	162.557	15.542	19.757	70.571	69.314	46.357	419	4031	2
PS23	10	0	34	32	5	13	10	8	2	15	0	0	0	0	5	2	1	83.352	61.294	51.588	108.867	72.250	36.323	163.220	13.455	16.852	74.132	66.750	44.558	470	1997	6
PS24	0	0	48	4	2	0	6	0	3	3	0	3	0	1	1	1	1	84.528	62.242	53.000	109.657	73.828	38.285	165.857	12.557	16.142	76.900	65.128	43.571	182	1398	23
PS27	1	1	44	10	0	0	0	4	2	0	0	1	1	0	0	0	1	84.585	63.814	55.371	115.285	80.042	41.328	173.928	14.857	13.942	80.928	65.657	43.928	131	313	0
PS28	3	0	51	12	4	0	0	2	1	0	1	4	0	1	1	0	1	84.913	63.579	55.594	112.913	82.956	43.391	174.376	12.376	10.565	85.275	63.652	42.623	145	466	0
