Families	Pasture	ac	am	ara	as	bo	ca	co	com	con	cu	cy	eu	grcyn	grresto	had	hsch	hse	hth	ir	la	le	ma	my	ox	pi	ru	rut	sa	scr	so	vi	vit	B1	B2	B3	Block	ALTITUDE	AGE 	CATTLEINTENSITY 	FIELDSLOPE	WEEDINGFRECUENCYIND	PLAGUE	BAREDSOIL 	MINVEGHEIGHT	MAXVEGHEIGHT
p3c1	3	1	0	0	0	0	0	0	0	0	0	3	1	0	5	0	0	0	0	0	6	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	10	20
p3c10	3	0	0	0	0	0	0	0	1	0	0	4	1	0	5	0	0	0	0	0	2	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	10	20
p3c2	3	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	2	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	3	15
p3c3	3	0	0	0	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	1	0	0	0	0	1	3	120	3	8	10.2	3	0	0	5	20
p3c4	3	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	2	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	1	2	10
p3c5	3	1	0	0	0	0	0	0	0	0	0	4	1	0	6	0	0	0	0	0	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	15	20
p3c6	3	1	0	0	0	0	0	0	0	0	0	2	1	0	6	0	0	0	0	0	3	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	15	20
p3c7	3	1	0	0	1	0	0	0	0	0	0	2	1	0	6	0	0	0	0	0	5	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	2	15
p3c8	3	1	0	0	1	0	0	1	0	0	0	2	1	0	5	0	0	0	0	0	2	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	5	20
p3c9	3	1	0	0	1	0	0	2	0	0	0	2	1	0	6	0	0	0	0	0	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	120	3	8	10.2	3	0	0	10	20
