ac	am	ara	as	ca	co	com	con	cu	cy	eu	grcyn	grresto	hth	ir	la	le	ma	my	ox	pi	ru	rut	scr	so	vi	vit	B1	B2	B3	ALTITUDE	AGE 	CATTLEINTENSITY 	FIELDSLOPE	PLAGUE	BAREDSOIL	MAXVEGHEIGHT
0.6	0	0	0.3	0	0.5	0.1	0	0	2.2	0.9	0	5.6	0	0	2.8	4	1	0	0	0	1	0	0	0.1	0	0	0	0	1	120	3	8	10.2	0	0.09531018	18
0	0	0	0	0	0.3	0.6	0.4	0	1.9	0.7	5.3	3.8	0	0	2.5	1	0.2	0	0	0	0.1	0	0	0	0	0	0	0	0	170	2	25	0	0	0	52.5
0	0.1	0	0	0	3.6	1	0.5	0	0.5	1.2	3.7	3.4	0	0	0.5	2.5	0.3	0	0	0	0.5	0.1	0	0	0.1	0	0	0	0	170	2	25	0	0	0.587786665	70
1.6	0	0	0.5	0	1.1	0	0.1	0.1	3.2	1.1	0.2	5.7	0	0	2.4	3.4	1.5	0	0.2	0	1	0	0.3	0.3	0	0.9	0	0	1	136	6	3.5	16	1	0	29.5
0	0	0	0	0	0.4	0.3	0	0.1	2.5	1.1	0.1	4.3	0	0.1	3.9	1.6	0.5	0	0	0	0.7	0	0	0	0	0	0	0	1	98	8	25	0	1	0.262364264	29
0.2	0.2	0	0.1	0	0.7	0.1	0	0	2.2	0.9	3.8	4.1	0	0	2.9	2.5	1	0	0	0	0.8	0	0.3	0.1	0.2	0.1	0	0	0	112	5	25	0	0	0	36
1.3	0	0	0.5	0	0.5	0	0	0	2.4	0.4	5.6	2.5	0	0	1.7	1.3	1	0	0	0	0.9	0.1	0.2	0.5	0	0	0	0	0	382	3	25	13	0	0.182321557	45.5
1	0	0	0.7	0.1	1.7	0	0	0	2.7	1	3.4	4.4	0.1	0	2.3	1.7	1.1	0.2	0.4	0.1	1.1	0.2	0.6	0	0.2	0	0	0	0	320	4	12	13	1	0.262364264	37.5
0.7	0	0	0.7	0.1	1.1	0.1	0	0	1.5	0.8	0	5.9	0	0	1.3	1.2	1.3	0.1	0.1	0	1	0	0.6	0.2	0	0.1	0	0	1	168	7	20	15.5	1	0.587786665	12
0.3	0	0	0.1	0	0.7	0	0.2	0	0.8	1	2.8	5.7	0	0	2.1	2.1	1.3	0	0	0	0.7	0	0.8	0	0	0	0	0	1	104	6	8	0	1	0.336472237	30
0.1	0.7	0.1	0	0	1	0.2	0	0.2	1	0.7	3.2	1	0.1	0	4.8	0.6	0.9	0	0	0.5	0.9	0.1	0.1	0.5	0	0.3	0	1	0	240	1	3	18	0	1.526056303	40
0.8	0	0.3	0	0	0.3	0.4	0	0.3	1.8	1.1	1.4	2.8	0.3	0	5.4	1.3	1	0	0	0.6	0.8	0.3	0.2	0.3	0	0.4	1	0	0	196	3	10	19	1	0.875468737	36.5
0.5	0	0.5	0	0	0.1	0.1	0	0.4	2.2	0.9	4.2	3	0.4	0	3.8	1.2	0.5	0	0	0.4	1	0.1	0.3	0	0	0	0	1	0	208	2	5	12	1	0	36.5
0.3	0.2	0	0.2	0	0.9	1.3	0	0	1.1	1.3	2.9	3.9	0	0	2.6	4.2	2.5	0.1	0	0	1.1	0	0.8	0	0.4	0	0	1	0	146	3	12	6.6	1	0	33.5
0.3	0.1	0	0.3	0	0.9	0.9	0.1	0.3	2.2	1	5.2	2.5	0	0.1	2.3	2.5	1	0.1	0.1	0	1	0.1	0.6	0.1	0	0.2	0	1	0	180	5	5	7	1	0.182321557	38
0	0.1	0	0	0.1	0.6	0.4	0	0.4	1.4	1.2	4	4.3	0.1	0	2.4	2.6	0.9	0	0.4	0.1	0.8	0	0.7	0.3	0.3	0.4	0	1	0	140	6	30	3	0	0	47.5
0.9	0	0	0.3	0.1	0.9	0.2	0.6	0.1	3.4	1.3	0	4.4	0	0	3	2.1	2.6	0	0.3	0	1	0.1	0.6	0.6	0	0	1	0	0	148	5	2.5	11.5	1	0.993251773	22.5
0.9	0.2	0	0	0.1	0.6	0.1	0	0	2	1.2	0	5.4	0	0.1	3.9	4	1.8	0	0.5	0	1	0	0.8	0.4	0	0	1	0	0	130	6	8	3	0	0.262364264	22.5
1.7	0.1	0.3	0.6	0	0.1	0.2	0	0.6	2.6	1.2	0	4.3	0	0.1	4.4	2.7	0.9	0.2	0.1	0.1	1	0	0.5	0.3	0.1	0.1	1	0	0	108	6	15	10	1	0.470003629	29
1.5	0.3	0	0.2	0.1	1.7	0.1	0	0	2.2	1.4	0.3	4.2	0	0.2	2.8	2.7	3.7	0.3	0.1	0	1	0	0.2	0.1	0.2	0	1	0	0	110	6	14.5	4	0	0.641853886	38
