Year	Ee	Tt	Sj	Sp	Lc	Mm	Bb	Pb	Ar	Ms	So	Ov	Fishers	UI	NAO	SST	PPT1	F0	Boats
1982	521	5801	950	12837	510	1955	192	135	95	6	536	2643	7502	24	-1.580	18.35	340.50	931.21	2686
1983	337	4081	311	16099	462	2128	369	107	131	7	600	1638	7632	28	-0.550	18.46	553.00	1786.15	2945
1984	96	2329	3905	12172	285	2163	176	66	120	6	526	1879	8081	10	2.170	18.13	308.40	1085.77	3677
1985	85	1380	4210	16758	240	1729	245	79	132	6	590	2477	7704	11	-3.090	18.31	408.20	4432.29	3090
1986	95	2658	4178	13954	249	2541	204	52	100	6	631	2802	9249	15	3.140	18.00	371.00	2180.02	2873
1987	392	2820	3169	16829	339	3001	181	44	90	9	675	4701	9827	13	-3.010	18.59	871.70	3287.65	1440
1988	223	3309	2998	13472	310	3221	108	46	89	7	748	4158	10502	9	-0.130	18.32	707.00	2792.77	4880
1989	36	3635	4062	11891	248	1754	102	0	87	7	716	3685	10385	12	2.380	18.84	800.00	5376.22	4546
1990	110	2493	2430	15845	315	1617	118	0	97	7	680	2001	9916	11	3.880	18.85	471.00	1865.11	4189
1991	22	2693	3081	16444	357	1831	191	0	49	8	524	2895	9325	14	1.140	18.27	231.00	1380.08	3832
1992	2	2637	2819	11668	544	1701	159	0	35	5	614	4120	8838	14	2.540	18.27	474.00	345.91	3626
1993	0	3252	1779	13161	518	1646	244	0	33	16	571	2398	8698	18	1.710	18.25	479.00	508.70	3011
1994	0	3333	1942	14943	378	1323	41	0	27	14	507	3049	8272	12	2.860	18.09	283.80	539.91	2869
1995	0	1673	1426	19104	244	1048	22	0	66	17	572	3211	8086	34	-1.110	18.84	488.50	769.27	2735
1996	51	1896	1743	20756	291	1274	51	0	78	14	587	4377	8232	29	-2.000	18.70	912.20	6808.87	2496
1997	14	3685	2742	21054	250	1024	9	0	109	17	614	1699	6958	16	-0.930	19.15	502.00	8130.79	2466
1998	610	2214	2775	20738	184	902	9	0	220	14	591	1871	7061	21	1.030	18.65	NA	5179.95	2385
1999	355	1623	3306	18477	184	775	10	0	191	20	551	3208	6788	26	2.250	18.68	NA	623.25	2303
																 			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																 			
																 			
																 			
																 			
																 			
																			
