Year	Year	K.FR.West	K.FR.Mid	K.FR.East	K.GR.West	K.GR.Mid	K.GR.East	P.FR.West	P.FR.Mid	P.FR.East	P.GR.West	P.GR.Mid	P.GR.East	PP.FR.West	PP.FR.Mid	PP.FR.East	PP.GR.West	PP.GR.Mid	PP.GR.East	GHW
1975	1975	14.4375	436.5	44	298.375	253.1875	302.0416667	112.625	302	85	104.625	103.5	232.7083333	209.125	532.5	125	267.375	234.5	532.0416667	933
1976	1976	18.25	426	65	293.4375	229.75	302.0416667	124.0625	312.5	71	129.3125	150.375	252.5416667	243.4375	553.5	111	321.6875	314.1875	566.75	877
1977	1977	0	410.25	58	273.6875	243.8125	287.1666667	124.0625	302	92	134.25	117.5625	257.5	270.125	548.25	132	311.8125	248.5625	561.7916667	963
1978	1978	25.875	426	58	278.625	243.8125	302.0416667	154.5625	307.25	106	124.375	131.625	237.6666667	247.25	527.25	160	267.375	272	541.9583333	957
1979	1979	60.1875	415.5	65	283.5625	211	297.0833333	139.3125	317.75	85	144.125	145.6875	237.6666667	224.375	543	174	301.9375	290.75	541.9583333	967
1980	1980	64	426	79	249	211	307	105	197	57	154	141	198	171	522	97	297	272	537	990
1981	1981	79.25	405	93	234.1875	196.9375	277.25	36.375	160.25	36	158.9375	128.625	138.5	106.1875	490.5	90	306.875	276.6875	551.875	1027
1982	1982	94.5	394.5	100	219.375	182.875	222.7083333	32.5625	113	43	163.875	102	83.95833333	140.5	511.5	90	316.75	272	591.5416667	990
1983	1983	94.5	410.25	107	204.5625	173.5	207.8333333	40.1875	50	43	163.875	95.8125	24.45833333	163.375	501	97	331.5625	272	586.5833333	1053
1984	1984	94.5	389.25	79	194.6875	201.625	197.9166667	47.8125	29	43	149.0625	56.625	49.25	182.4375	522	104	341.4375	251.75	561.7916667	953
1985	1985	98.3125	368.25	107	229.25	206.3125	197.9166667	51.625	23.75	22	104.625	73.875	24.45833333	125.25	495.75	62	316.75	248.5625	561.7916667	960
1986	1986	94.5	363	93	253.9375	220.375	197.9166667	44	55.25	29	119.4375	66	88.91666667	167.1875	495.75	83	321.6875	262.625	532.0416667	957
1987	1987	86.875	357.75	93	224.3125	196.9375	197.9166667	59.25	39.5	29	124.375	91.125	118.6666667	144.3125	469.5	76	361.1875	318.875	541.9583333	960
1988	1988	86.875	342	86	234.1875	201.625	192.9583333	63.0625	23.75	43	89.8125	58.3125	64.125	182.4375	401.25	90	277.25	262.625	487.4166667	1047
1989	1989	113.5625	321	100	239.125	211	222.7083333	44	65.75	36	109.5625	73.875	-15.20833333	171	490.5	83	326.625	234.5	477.5	977
1990	1990	113.5625	410.25	86	244.0625	201.625	207.8333333	51.625	13.25	57	89.8125	66	69.08333333	193.875	385.5	118	311.8125	292.25	482.4583333	1043
1991	1991	151.6875	384	86	253.9375	215.6875	232.625	36.375	29	57	114.5	53.625	79	121.4375	453.75	111	321.6875	229.8125	432.875	933
1992	1992	117.375	415.5	93	249	215.6875	217.75	93.5625	34.25	71	134.25	59.8125	64.125	205.3125	406.5	111	301.9375	257.9375	432.875	980
1993	1993	132.625	399.75	86	249	211	212.7916667	78.3125	81.5	71	129.3125	61.3125	69.08333333	159.5625	380.25	111	346.375	248.5625	462.625	977
1994	1994	132.625	357.75	100	253.9375	201.625	197.9166667	108.8125	118.25	92	134.25	63	64.125	251.0625	474.75	160	430.3125	243.875	502.2916667	1013
1995	1995	140.25	368.25	79	249	182.875	183.0416667	105	-7.75	78	45.375	39.5625	0	212.9375	380.25	118	297	229.8125	363.4583333	1023
1996	1996	155.5	394.5	93	258.875	215.6875	183.0416667	162.1875	186.5	64	158.9375	101.8125	123.625	304.4375	627	181	376	332.9375	576.6666667	875
1997	1997	174.5625	389.25	79	263.8125	225.0625	212.7916667	162.1875	165.5	57	139.1875	106.5	39.33333333	308.25	590.25	160	366.125	392.1875	591.5416667	966
1998	1998	212.6875	399.75	107	273.6875	225.0625	222.7083333	82.125	97.25	57	75	53.625	-0.333333333	190.0625	375	167	277.25	229.8125	388.25	1055
1999	1999	197.4375	389.25	100	263.8125	206.3125	212.7916667	139.3125	197	57	25.625	20.8125	0	270.125	621.75	132	232.8125	206.375	333.7083333	1057
2000	2000	205.0625	447	100	288.5	206.3125	207.8333333	89.75	76.25	43	15.75	70.6875	0	212.9375	553.5	90	193.3125	223.625	313.875	1034
2001	2001	227.9375	478.5	93	263.8125	225.0625	212.7916667	101.1875	139.25	43	0.95	0	34.36666667	174.8125	522	97	158.7625	145.4	353.5333333	1033
2002	2002	227.9375	468	114	268.75	239.125	192.9583333	162.1875	275.75	36	25.375	5.1875	0	231.9375	564	132	168.375	140.875	318.7916667	1000
2003	2003	224.125	452.25	114	258.875	225.0625	197.9166667	116.4375	291.5	71	15.75	37.875	39.33333333	190.0625	600.75	146	168.625	192.3125	373.375	1004
