Year	Distance	Type	County	Location	MHT	ID	Name
1	1975	14.4375	1	1	1	933	1	K_FR_West
2	1976	18.25	1	1	1	877	1	K_FR_West
3	1977	0	1	1	1	963	1	K_FR_West
4	1978	25.875	1	1	1	957	1	K_FR_West
5	1979	60.1875	1	1	1	967	1	K_FR_West
6	1980	64	1	1	1	990	1	K_FR_West
7	1981	79.25	1	1	1	1027	1	K_FR_West
8	1982	94.5	1	1	1	990	1	K_FR_West
9	1983	94.5	1	1	1	1053	1	K_FR_West
10	1984	94.5	1	1	1	953	1	K_FR_West
11	1985	98.3125	1	1	1	960	1	K_FR_West
12	1986	94.5	1	1	1	957	1	K_FR_West
13	1987	86.875	1	1	1	960	1	K_FR_West
14	1988	86.875	1	1	1	1047	1	K_FR_West
15	1989	113.5625	1	1	1	977	1	K_FR_West
16	1990	113.5625	1	1	1	1043	1	K_FR_West
17	1991	151.6875	1	1	1	933	1	K_FR_West
18	1992	117.375	1	1	1	980	1	K_FR_West
19	1993	132.625	1	1	1	977	1	K_FR_West
20	1994	132.625	1	1	1	1013	1	K_FR_West
21	1995	140.25	1	1	1	1023	1	K_FR_West
22	1996	155.5	1	1	1	875	1	K_FR_West
23	1997	174.5625	1	1	1	966	1	K_FR_West
24	1998	212.6875	1	1	1	1055	1	K_FR_West
25	1999	197.4375	1	1	1	1057	1	K_FR_West
26	2000	205.0625	1	1	1	1034	1	K_FR_West
27	2001	227.9375	1	1	1	1033	1	K_FR_West
28	2002	227.9375	1	1	1	1000	1	K_FR_West
29	2003	224.125	1	1	1	1004	1	K_FR_West
30	1975	436.5	1	1	2	933	2	K_FR_Mid
31	1976	426	1	1	2	877	2	K_FR_Mid
32	1977	410.25	1	1	2	963	2	K_FR_Mid
33	1978	426	1	1	2	957	2	K_FR_Mid
34	1979	415.5	1	1	2	967	2	K_FR_Mid
35	1980	426	1	1	2	990	2	K_FR_Mid
36	1981	405	1	1	2	1027	2	K_FR_Mid
37	1982	394.5	1	1	2	990	2	K_FR_Mid
38	1983	410.25	1	1	2	1053	2	K_FR_Mid
39	1984	389.25	1	1	2	953	2	K_FR_Mid
40	1985	368.25	1	1	2	960	2	K_FR_Mid
41	1986	363	1	1	2	957	2	K_FR_Mid
42	1987	357.75	1	1	2	960	2	K_FR_Mid
43	1988	342	1	1	2	1047	2	K_FR_Mid
44	1989	321	1	1	2	977	2	K_FR_Mid
45	1990	410.25	1	1	2	1043	2	K_FR_Mid
46	1991	384	1	1	2	933	2	K_FR_Mid
47	1992	415.5	1	1	2	980	2	K_FR_Mid
48	1993	399.75	1	1	2	977	2	K_FR_Mid
49	1994	357.75	1	1	2	1013	2	K_FR_Mid
50	1995	368.25	1	1	2	1023	2	K_FR_Mid
51	1996	394.5	1	1	2	875	2	K_FR_Mid
52	1997	389.25	1	1	2	966	2	K_FR_Mid
53	1998	399.75	1	1	2	1055	2	K_FR_Mid
54	1999	389.25	1	1	2	1057	2	K_FR_Mid
55	2000	447	1	1	2	1034	2	K_FR_Mid
56	2001	478.5	1	1	2	1033	2	K_FR_Mid
57	2002	468	1	1	2	1000	2	K_FR_Mid
58	2003	452.25	1	1	2	1004	2	K_FR_Mid
59	1975	44	1	1	3	933	3	K_FR_East
60	1976	65	1	1	3	877	3	K_FR_East
61	1977	58	1	1	3	963	3	K_FR_East
62	1978	58	1	1	3	957	3	K_FR_East
63	1979	65	1	1	3	967	3	K_FR_East
64	1980	79	1	1	3	990	3	K_FR_East
65	1981	93	1	1	3	1027	3	K_FR_East
66	1982	100	1	1	3	990	3	K_FR_East
67	1983	107	1	1	3	1053	3	K_FR_East
68	1984	79	1	1	3	953	3	K_FR_East
69	1985	107	1	1	3	960	3	K_FR_East
70	1986	93	1	1	3	957	3	K_FR_East
71	1987	93	1	1	3	960	3	K_FR_East
72	1988	86	1	1	3	1047	3	K_FR_East
73	1989	100	1	1	3	977	3	K_FR_East
74	1990	86	1	1	3	1043	3	K_FR_East
75	1991	86	1	1	3	933	3	K_FR_East
76	1992	93	1	1	3	980	3	K_FR_East
77	1993	86	1	1	3	977	3	K_FR_East
78	1994	100	1	1	3	1013	3	K_FR_East
79	1995	79	1	1	3	1023	3	K_FR_East
80	1996	93	1	1	3	875	3	K_FR_East
81	1997	79	1	1	3	966	3	K_FR_East
82	1998	107	1	1	3	1055	3	K_FR_East
83	1999	100	1	1	3	1057	3	K_FR_East
84	2000	100	1	1	3	1034	3	K_FR_East
85	2001	93	1	1	3	1033	3	K_FR_East
86	2002	114	1	1	3	1000	3	K_FR_East
87	2003	114	1	1	3	1004	3	K_FR_East
88	1975	112.625	2	1	1	933	7	P_FR_West
