Year	Distance	Type	County	Location	MHT	ID	Name
1	1975	298.375	1	2	1	933	4	K_GR_West
2	1976	293.4375	1	2	1	877	4	K_GR_West
3	1977	273.6875	1	2	1	963	4	K_GR_West
4	1978	278.625	1	2	1	957	4	K_GR_West
5	1979	283.5625	1	2	1	967	4	K_GR_West
6	1980	249	1	2	1	990	4	K_GR_West
7	1981	234.1875	1	2	1	1027	4	K_GR_West
8	1982	219.375	1	2	1	990	4	K_GR_West
9	1983	204.5625	1	2	1	1053	4	K_GR_West
10	1984	194.6875	1	2	1	953	4	K_GR_West
11	1985	229.25	1	2	1	960	4	K_GR_West
12	1986	253.9375	1	2	1	957	4	K_GR_West
13	1987	224.3125	1	2	1	960	4	K_GR_West
14	1988	234.1875	1	2	1	1047	4	K_GR_West
15	1989	239.125	1	2	1	977	4	K_GR_West
16	1990	244.0625	1	2	1	1043	4	K_GR_West
17	1991	253.9375	1	2	1	933	4	K_GR_West
18	1992	249	1	2	1	980	4	K_GR_West
19	1993	249	1	2	1	977	4	K_GR_West
20	1994	253.9375	1	2	1	1013	4	K_GR_West
21	1995	249	1	2	1	1023	4	K_GR_West
22	1996	258.875	1	2	1	875	4	K_GR_West
23	1997	263.8125	1	2	1	966	4	K_GR_West
24	1998	273.6875	1	2	1	1055	4	K_GR_West
25	1999	263.8125	1	2	1	1057	4	K_GR_West
26	2000	288.5	1	2	1	1034	4	K_GR_West
27	2001	263.8125	1	2	1	1033	4	K_GR_West
28	2002	268.75	1	2	1	1000	4	K_GR_West
29	2003	258.875	1	2	1	1004	4	K_GR_West
30	1975	253.1875	1	2	2	933	5	K_GR_Mid
31	1976	229.75	1	2	2	877	5	K_GR_Mid
32	1977	243.8125	1	2	2	963	5	K_GR_Mid
33	1978	243.8125	1	2	2	957	5	K_GR_Mid
34	1979	211	1	2	2	967	5	K_GR_Mid
35	1980	211	1	2	2	990	5	K_GR_Mid
36	1981	196.9375	1	2	2	1027	5	K_GR_Mid
37	1982	182.875	1	2	2	990	5	K_GR_Mid
38	1983	173.5	1	2	2	1053	5	K_GR_Mid
39	1984	201.625	1	2	2	953	5	K_GR_Mid
40	1985	206.3125	1	2	2	960	5	K_GR_Mid
41	1986	220.375	1	2	2	957	5	K_GR_Mid
42	1987	196.9375	1	2	2	960	5	K_GR_Mid
43	1988	201.625	1	2	2	1047	5	K_GR_Mid
44	1989	211	1	2	2	977	5	K_GR_Mid
45	1990	201.625	1	2	2	1043	5	K_GR_Mid
46	1991	215.6875	1	2	2	933	5	K_GR_Mid
47	1992	215.6875	1	2	2	980	5	K_GR_Mid
48	1993	211	1	2	2	977	5	K_GR_Mid
49	1994	201.625	1	2	2	1013	5	K_GR_Mid
50	1995	182.875	1	2	2	1023	5	K_GR_Mid
51	1996	215.6875	1	2	2	875	5	K_GR_Mid
52	1997	225.0625	1	2	2	966	5	K_GR_Mid
53	1998	225.0625	1	2	2	1055	5	K_GR_Mid
54	1999	206.3125	1	2	2	1057	5	K_GR_Mid
55	2000	206.3125	1	2	2	1034	5	K_GR_Mid
56	2001	225.0625	1	2	2	1033	5	K_GR_Mid
57	2002	239.125	1	2	2	1000	5	K_GR_Mid
58	2003	225.0625	1	2	2	1004	5	K_GR_Mid
59	1975	302.0416667	1	2	3	933	6	K_GR_East
60	1976	302.0416667	1	2	3	877	6	K_GR_East
61	1977	287.1666667	1	2	3	963	6	K_GR_East
62	1978	302.0416667	1	2	3	957	6	K_GR_East
63	1979	297.0833333	1	2	3	967	6	K_GR_East
64	1980	307	1	2	3	990	6	K_GR_East
65	1981	277.25	1	2	3	1027	6	K_GR_East
66	1982	222.7083333	1	2	3	990	6	K_GR_East
67	1983	207.8333333	1	2	3	1053	6	K_GR_East
68	1984	197.9166667	1	2	3	953	6	K_GR_East
69	1985	197.9166667	1	2	3	960	6	K_GR_East
70	1986	197.9166667	1	2	3	957	6	K_GR_East
71	1987	197.9166667	1	2	3	960	6	K_GR_East
