Period	Decade	AxisYear	Year	Observed_22_24	Trend_22_24	Observed_24_26	Trend_24_26	Observed_26_28	Trend_26_28	Observed_28_30	Trend_28_30	Observed_30_32	Trend_30_32	Observed_32_34	Trend_32_34	Observed_34_36	Trend_34_36	Observed_36_38	Trend_36_38	Observed_38_40	Trend_38_40	Observed_40_42	Trend_40_42	Observed_42_44	Trend_42_44	Observed_44_46	Trend_44_46	Observed_46_48	Trend_46_48	Observed_Bight	Trend_Bight
1	40	1946	1946	21.37	22.9032	20.25	20.5698	17.15	18.611	16.06	17.5593	15.63	16.91	13.64	15.6234	13.75	14.1008	12.83	13.2427	12.55	12.6424	10.87	11.9599	10.63	11.6271	10.34	11.9209	9.43	11.5516	14.17	16.6649
2	40	1946.0833	1946	21.03	22.9082	18.99	20.5665	16.24	18.6054	15.29	17.5533	14.09	16.8931	13.68	15.6185	12.26	14.0906	11.8	13.2351	10.96	12.636	11.1	11.9628	9.27	11.625	9.25	11.9188	8.35	11.5484	13.49	16.6543
3	40	1946.167	1946	19.23	22.9045	17.25	20.5585	15.53	18.6042	14.97	17.5519	15.12	16.9145	12.31	15.6006	11.4	14.0851	11.19	13.2334	11.21	12.6414	10	11.9558	10	11.6278	9.4	11.9206	NA	11.5484	13.32	16.6511
4	40	1946.25	1946	20.97	22.9232	16.59	20.5569	15.36	18.6027	15.2	17.5516	14.78	16.8989	13.6	15.6184	12.47	14.103	12.59	13.2552	11.21	12.6451	NA	11.9538	9.78	11.6273	9.17	11.9183	NA	11.5484	15.31	16.6728
5	40	1946.3333	1946	19.96	22.9242	17.22	20.5681	16.27	18.6161	15.25	17.554	15.38	16.917	14.34	15.6335	13.6	14.1176	13.01	13.2584	10.87	12.6433	9.8	11.9518	9.9	11.6262	9.77	11.9187	9.35	11.5484	15.79	16.6757
6	40	1946.417	1946	23.97	22.9503	18.77	20.5804	19.26	18.6416	17.8	17.5773	19.17	16.9661	NA	15.6506	NA	14.1267	13.24	13.2528	13.43	12.6591	10.35	11.9587	12.1	11.634	13.3	11.9293	12.05	11.5588	17.57	16.6872
7	40	1946.5	1946	25.04	22.9252	21.9	20.5825	19.8	18.6278	18.38	17.5685	20	16.9602	17.5	15.6677	16.3	14.1358	15.73	13.2722	14.76	12.6679	14.58	11.9874	15.73	11.6476	16.98	11.9451	15.98	11.5813	20.31	16.705
8	40	1946.5833	1946	NA	22.9179	NA	20.6035	NA	18.6376	NA	17.5793	NA	16.9333	18.6	15.6696	17.8	14.142	15.68	13.2558	16.13	12.6685	NA	11.994	NA	11.6409	NA	11.9426	NA	11.5828	21.48	16.703
9	40	1946.667	1946	28.9	22.9105	28.9	20.6244	24.83	18.6474	NA	17.5902	19.4	16.9063	17.68	15.6482	NA	14.1196	14.44	13.2263	15.01	12.6504	16.87	12.0005	NA	11.6341	15.6	11.9401	NA	11.5844	20.29	16.6805
10	40	1946.75	1946	25.9	22.8785	23.7	20.5756	22	18.6145	21.65	17.6011	18.7	16.8938	17.99	15.6477	14.87	14.0971	14.12	13.2201	13.29	12.6351	13.96	11.9783	10.73	11.6274	11.1	11.9234	12.47	11.5859	19.05	16.6621
