Period	AxisYear	Year	Observed_6_10	Trend_6_10	Observed_10_14	Trend_10_14	Observed_14_18	Trend_14_18	Observed_18_22	Trend_18_22	Observed_22_26	Trend_22_26	Observed_26_30	Trend_26_30	Observed_30_34	Trend_30_34	Observed_34_38	Trend_34_38
1	1946	1946		19.5115		18.7514		17.7295		19.343		17.4281		15.9568		14.3716		13.3687
2	1946.0833	1946		19.5115		18.7514		17.7295		19.343		17.4281		15.9568		14.3716		13.3687
3	1946.167	1946		19.5115		18.7514		17.7295		19.343		17.4281		15.9568		14.3716		13.3687
4	1946.25	1946	20.64	19.5115	20.23	18.7514	20.14	17.7295	20.07	19.343	18.41	17.4281	15.84	15.9568	14.42	14.3716	12.8	13.3687
5	1946.3333	1946	20.34	19.5123	18.78	18.747	17.19	17.7185	18.72	19.3418	16.91	17.4218	14.45	15.9525	14.58	14.372	14.32	13.3714
6	1946.417	1946	17.97	19.5038	17.1	18.7434	15.1	17.7133	16.34	19.3385	14.92	17.422	14.1	15.9523	12.99	14.3708		13.3716
7	1946.5	1946	16.98	19.5039	16.88	18.7463	14.85	17.7184	16.34	19.3403		17.4306		15.9555		14.3733		13.3717
8	1946.5833	1946		19.5116		18.7432		17.7267		19.3424		17.4391		15.9587		14.3759		13.3719
9	1946.667	1946		19.5193		18.7402		17.735		19.3446		17.4476		15.9619		14.3784		13.3721
10	1946.75	1946	18.9	19.5271		18.7371		17.7433		19.3468		17.4561		15.9652		14.3809		13.3722
11	1946.8333	1946		19.527	14.95	18.7341		17.7516		19.3489		17.4647	14.4	15.9684	12.48	14.3835		13.3724
12	1946.917	1946		19.5269		18.7444		17.7599		19.3511		17.4732		15.9775		14.393		13.3726
13	1947	1947	23.3	19.5269	20.17	18.7548	22.2	17.7682	23.3	19.3533	19.2	17.4817	19.02	15.9867	16.4	14.4025		13.3727
14	1947.0833	1947		19.5206		18.7656		17.7645		19.3509		17.4989		15.9909	17.2	14.4134	15.83	13.3729
15	1947.167	1947	23.6	19.5143	23.02	18.7765	20.55	17.7608		19.3486		17.5162		15.9951		14.4217		13.369
16	1947.25	1947		19.5061		18.7761		17.7626		19.3462		17.5334		15.9993		14.43		13.3652
17	1947.3333	1947	19.53	19.498	19.01	18.7758	19.55	17.7644	19.16	19.3438	18.87	17.5506	16.67	16.0035	16.1	14.4383		13.3613
18	1947.417	1947	19.2	19.4997	19.15	18.7821	18.3	17.7588		19.3425		17.5572		16.0031		14.4393		13.3575
19	1947.5	1947	17.81	19.4955	15.85	18.7756	15	17.7411		19.3412		17.5638		16.0027		14.4403		13.3536
20	1947.5833	1947	17.15	19.4939	17	18.7859	14.97	17.7351	16.1	19.3398	14.88	17.5704	14.08	16.0024	13.58	14.4414		13.3497
21	1947.667	1947		19.4942		18.7918		17.732		19.3387		17.5774	14.75	16.002	13.9	14.4392		13.3459
22	1947.75	1947		19.4945		18.7977		17.7288		19.3376		17.5845		15.9962		14.4313		13.342
23	1947.8333	1947	19.03	19.4948		18.8036		17.7257		19.3365		17.5915		15.9903		14.4234		13.3382
24	1947.917	1947	20.15	19.4924	20.58	18.8096	18.3	17.7226	20.55	19.3354	18.3	17.5985	16.15	15.9845	13.6	14.4155		13.3343
25	1948	1948		19.4846		18.8108		17.7218		19.3345	20.3	17.6125	18.32	15.9829	16.54	14.4146	13.66	13.3304
26	1948.0833	1948		19.4768		18.8121		17.7209		19.3336		17.6274		15.981		14.4133		13.3318
27	1948.167	1948	21.25	19.4689		18.8133		17.7201		19.3327	23.9	17.6423		15.9791		14.412		13.3332
28	1948.25	1948		19.4765		18.8146		17.7193		19.3318		17.6284		15.9771		14.4107		13.3346
29	1948.3333	1948	21.7	19.4842	21.15	18.8158	18.87	17.7184	19.4	19.331		17.6144		15.9752		14.4094		13.3359
30	1948.417	1948	19.1	19.4719		18.8062		17.7087		19.327		17.6004		15.9733		14.4081		13.3373
31	1948.5	1948	17.08	19.4618	16.6	18.7966	14.44	17.699	15.3	19.323		17.5865		15.9713	11.1	14.4068	11.53	13.3387
32	1948.5833	1948	16.39	19.4592	16.08	18.7933	15.43	17.7018	14.85	19.3266	13.89	17.5725	13.46	15.9694	12.63	14.4149	11.34	13.343
33	1948.667	1948		19.4584		18.7919		17.6996		19.3353		17.5688		15.9697		14.4216		13.3481
34	1948.75	1948		19.4576		18.7905		17.6974		19.344		17.5651		15.97		14.4282		13.3532
35	1948.8333	1948	17.8	19.4568		18.789		17.6952		19.3527		17.5614		15.9704		14.4348		13.3583
36	1948.917	1948	17.56	19.4485	16.95	18.7876		17.693		19.3614		17.5578		15.9707		14.4415		13.3634
37	1949	1949	21.85	19.4627	22.82	18.8098	20	17.6908	23.15	19.3701	20.17	17.5541	17.8	15.971		14.4481	16.7	13.3685
38	1949.0833	1949	23.26	19.4655	21.93	18.8073	19.17	17.6859	23.3	19.3769	20.2	17.549	21.47	15.9784		14.4547		13.369
39	1949.167	1949	24.08	19.4666	22.59	18.808	21.18	17.6958	23.26	19.3808	21.95	17.5511	19	15.9676	16.33	14.4614	12.5	13.3694
40	1949.25	1949	20.77	19.4548	20.63	18.8035	18.62	17.6916	21.67	19.382	17.24	17.5383	15	15.9518	15.02	14.4674		13.3765
41	1949.3333	1949	18.96	19.444	17.85	18.7904	18.4	17.6924	20.28	19.3823	17.42	17.5375	14.87	15.948	14.45	14.4728	13.85	13.3836
42	1949.417	1949	17.56	19.4389	16.02	18.7851	15.54	17.6863	18.22	19.3789	15.53	17.538	14.73	15.9489	14.03	14.4789		13.3898
