ID	MONTH	LENGTH	AFD
1.000	11.000	28.380	0.248
2.000	11.000	16.570	0.052
3.000	11.000	13.690	0.028
4.000	11.000	17.440	0.070
5.000	11.000	11.830	0.022
6.000	11.000	28.130	0.187
7.000	11.000	32.580	0.361
8.000	11.000	15.700	0.050
9.000	11.000	18.730	0.087
10.000	11.000	21.520	0.128
11.000	11.000	20.170	0.105
12.000	11.000	16.720	0.054
13.000	11.000	15.990	0.065
14.000	11.000	16.850	0.061
15.000	11.000	21.540	0.118
16.000	11.000	13.060	0.030
17.000	11.000	13.750	0.038
18.000	11.000	16.420	0.058
19.000	11.000	11.080	0.022
20.000	11.000	13.500	0.036
21.000	11.000	12.670	0.016
22.000	11.000	22.560	0.128
23.000	12.000	24.100	0.167
24.000	12.000	24.090	0.134
25.000	12.000	24.010	0.105
26.000	12.000	23.420	0.145
27.000	12.000	23.240	0.148
28.000	12.000	24.110	0.110
29.000	12.000	23.090	0.145
30.000	12.000	23.820	0.150
31.000	12.000	23.310	0.100
32.000	12.000	24.110	0.147
33.000	12.000	21.090	0.081
34.000	12.000	22.530	0.137
35.000	12.000	22.690	0.136
36.000	12.000	22.210	0.097
37.000	12.000	20.650	0.098
38.000	12.000	21.910	0.126
39.000	12.000	20.450	0.098
40.000	12.000	22.660	0.131
41.000	12.000	21.350	0.088
42.000	12.000	22.750	0.135
43.000	12.000	21.820	0.140
44.000	12.000	22.040	0.124
45.000	12.000	21.130	0.110
46.000	12.000	22.240	0.133
47.000	12.000	21.950	0.128
48.000	12.000	22.500	0.127
49.000	12.000	20.510	0.108
50.000	12.000	22.880	0.135
51.000	12.000	22.040	0.139
52.000	12.000	22.170	0.088
53.000	12.000	21.230	0.108
54.000	12.000	19.640	0.102
55.000	12.000	20.550	0.060
56.000	12.000	20.540	0.085
57.000	12.000	21.630	0.116
58.000	12.000	22.300	0.126
59.000	12.000	21.910	0.077
60.000	12.000	22.330	0.129
61.000	12.000	21.820	0.127
62.000	12.000	22.560	0.124
63.000	12.000	20.180	0.092
64.000	12.000	21.280	0.093
65.000	12.000	22.270	0.101
66.000	12.000	19.740	0.079
67.000	12.000	21.690	0.107
68.000	12.000	21.810	0.116
69.000	12.000	22.250	0.117
70.000	12.000	22.040	0.133
71.000	12.000	20.910	0.117
72.000	12.000	20.370	0.113
73.000	12.000	20.370	0.098
74.000	12.000	20.030	0.079
75.000	12.000	21.880	0.084
76.000	12.000	21.900	0.107
77.000	12.000	21.610	0.120
78.000	12.000	20.010	0.103
79.000	12.000	20.020	0.109
80.000	12.000	20.540	0.066
81.000	3.000	11.200	0.012
82.000	3.000	11.000	0.013
83.000	3.000	10.650	0.014
84.000	3.000	10.300	0.011
85.000	3.000	10.450	0.013
86.000	3.000	9.780	0.009
87.000	3.000	10.530	0.011
88.000	3.000	10.360	0.011
89.000	3.000	9.890	0.010
90.000	3.000	9.570	0.009
91.000	3.000	9.770	0.009
92.000	3.000	10.000	0.010
93.000	3.000	10.050	0.011
94.000	3.000	9.620	0.009
95.000	3.000	9.900	0.009
96.000	3.000	10.230	0.010
97.000	9.000	16.310	0.039
98.000	9.000	15.560	0.054
99.000	9.000	16.070	0.033
100.000	9.000	16.030	0.052
101.000	9.000	15.780	0.031
102.000	9.000	15.520	0.036
103.000	9.000	15.830	0.032
104.000	9.000	15.860	0.031
105.000	9.000	8.600	0.004
106.000	9.000	8.670	0.006
107.000	9.000	8.680	0.006
108.000	9.000	9.290	0.007
109.000	9.000	8.860	0.007
110.000	9.000	8.930	0.006
111.000	9.000	9.260	0.006
112.000	2.000	17.770	0.065
113.000	2.000	20.930	0.114
114.000	2.000	21.760	0.138
115.000	2.000	17.750	0.062
116.000	2.000	21.550	0.112
117.000	2.000	19.770	0.094
118.000	2.000	20.080	0.099
119.000	2.000	19.770	0.104
120.000	2.000	20.830	0.116
121.000	2.000	22.700	0.135
122.000	2.000	22.980	0.138
123.000	2.000	19.940	0.098
124.000	2.000	20.760	0.119
125.000	2.000	14.700	0.034
126.000	2.000	22.170	0.153
127.000	2.000	22.360	0.121
128.000	2.000	21.080	0.096
129.000	2.000	17.140	0.053
130.000	2.000	17.440	0.056
131.000	2.000	23.550	0.175
132.000	2.000	23.810	0.161
133.000	2.000	23.760	0.162
134.000	2.000	24.780	0.164
135.000	2.000	18.540	0.097
136.000	2.000	19.130	0.080
137.000	2.000	19.350	0.091
138.000	2.000	18.590	0.068
139.000	2.000	24.060	0.164
140.000	2.000	17.070	0.056
141.000	2.000	19.820	0.089
142.000	2.000	19.570	0.077
143.000	2.000	17.750	0.065
144.000	2.000	18.770	0.078
145.000	2.000	17.930	0.066
146.000	2.000	23.190	0.140
147.000	2.000	16.330	0.047
148.000	2.000	22.820	0.148
149.000	2.000	24.790	0.173
150.000	2.000	22.800	0.147
151.000	2.000	19.090	0.077
152.000	2.000	19.310	0.085
153.000	2.000	18.790	0.072
154.000	2.000	17.000	0.042
155.000	2.000	17.840	0.069
156.000	2.000	18.300	0.071
157.000	2.000	17.800	0.069
158.000	2.000	17.710	0.064
159.000	2.000	20.820	0.098
160.000	2.000	21.500	0.121
161.000	2.000	20.930	0.116
162.000	2.000	20.870	0.132
163.000	2.000	23.830	0.075
164.000	2.000	21.090	0.104
165.000	2.000	21.430	0.100
166.000	2.000	26.500	0.236
167.000	2.000	26.660	0.213
168.000	2.000	26.900	0.245
169.000	2.000	26.080	0.203
170.000	2.000	22.520	0.115
171.000	2.000	22.710	0.155
172.000	2.000	22.340	0.130
173.000	2.000	22.210	0.115
174.000	2.000	22.050	0.119
175.000	2.000	22.870	0.136
176.000	2.000	22.270	0.124
177.000	2.000	22.770	0.142
178.000	2.000	22.780	0.146
179.000	2.000	22.890	0.099
180.000	2.000	21.980	0.119
181.000	2.000	22.250	0.127
182.000	2.000	22.020	0.130
183.000	2.000	22.660	0.136
184.000	2.000	25.670	0.195
185.000	2.000	25.290	0.196
186.000	2.000	25.560	0.186
187.000	2.000	26.030	0.207
188.000	2.000	25.820	0.208
189.000	2.000	20.490	0.118
190.000	2.000	20.280	0.095
191.000	2.000	20.290	0.095
192.000	2.000	19.890	0.085
193.000	2.000	20.250	0.106
194.000	2.000	20.050	0.114
195.000	2.000	20.530	0.085
196.000	2.000	30.320	0.366
197.000	2.000	27.420	0.252
198.000	2.000	30.850	0.312
199.000	2.000	34.190	0.565
200.000	2.000	31.630	0.420
201.000	2.000	19.740	0.097
202.000	2.000	24.070	0.154
203.000	2.000	24.660	0.155
204.000	2.000	25.430	0.199
205.000	2.000	30.590	0.314
206.000	2.000	24.300	0.147
207.000	2.000	23.630	0.133
208.000	2.000	24.870	0.171
209.000	2.000	23.450	0.145
210.000	2.000	25.150	0.172
211.000	2.000	31.320	0.338
212.000	2.000	30.370	0.336
213.000	2.000	24.650	0.161
214.000	2.000	24.030	0.170
215.000	2.000	25.420	0.198
216.000	2.000	24.120	0.153
217.000	2.000	22.940	0.142
218.000	2.000	26.450	0.224
219.000	2.000	19.200	0.092
220.000	2.000	24.910	0.163
221.000	2.000	24.540	0.123
222.000	2.000	18.740	0.077
223.000	2.000	14.190	0.029
224.000	2.000	16.000	0.047
225.000	2.000	21.620	0.126
226.000	2.000	26.690	0.201
227.000	2.000	29.130	0.342
228.000	2.000	23.240	0.147
229.000	2.000	28.830	0.271
230.000	2.000	24.350	0.175
231.000	2.000	22.390	0.162
232.000	2.000	20.050	0.086
233.000	2.000	17.260	0.059
234.000	2.000	19.290	0.072
235.000	2.000	23.300	0.140
236.000	2.000	23.130	0.151
237.000	2.000	17.230	0.059
238.000	2.000	16.410	0.056
239.000	2.000	16.760	0.061
