Sample	Parrot	CoralRichness	CoralTotal	Month	Station	Method
1	25.46	11	5.73	5	1	1
2	16.55	11	5.73	5	1	1
3	15.28	11	5.73	5	1	1
4	10.19	11	5.73	5	1	1
5	2.55	11	5.73	5	1	1
6	15.28	11	5.73	5	1	1
7	6.37	11	5.73	5	1	1
8	10.19	11	5.73	5	1	1
9	3.82	14	8.85	10	1	1
10	2.55	14	8.85	10	1	1
11	17.83	14	8.85	10	1	1
12	33.10	14	8.85	10	1	1
13	50.93	14	8.85	10	1	1
14	15.28	14	8.85	10	1	1
15	29.28	14	8.85	10	1	1
16	22.92	14	8.85	10	1	1
17	26.74	8	3.50	11	1	1
18	45.84	8	3.50	11	1	1
19	26.74	8	3.50	11	1	1
20	52.20	8	3.50	11	1	1
21	24.19	8	3.50	11	1	1
22	22.92	8	3.50	11	1	1
23	4.00	5	2.35	1	1	2
24	0.80	5	2.35	1	1	2
25	0.40	5	2.35	1	1	2
26	5.20	5	2.35	2	1	2
27	2.40	5	2.35	2	1	2
28	1.20	5	2.35	2	1	2
29	12.00	11	5.73	5	1	2
30	14.00	11	5.73	5	1	2
31	31.20	11	5.73	5	1	2
32	14.00	11	5.73	5	1	2
33	1.60	11	5.73	5	1	2
34	1.60	11	5.73	5	1	2
35	9.60	10	14.18	14	1	2
36	4.00	10	14.18	14	1	2
37	9.20	10	14.18	14	1	2
38	16.40	10	14.18	14	1	2
39	8.40	10	14.18	14	1	2
40	14.80	10	14.18	14	1	2
41	16.80	10	14.18	14	1	2
42	9.20	10	14.18	14	1	2
43	14.00	10	14.18	14	1	2
44	8.80	10	14.18	14	1	2
45	17.60	10	14.18	14	1	2
46	8.00	10	14.18	14	1	2
47	21.20	10	5.63	19	1	2
48	25.46	8	3.81	5	2	1
49	38.20	8	3.81	5	2	1
50	30.56	8	3.81	5	2	1
51	17.83	8	3.81	5	2	1
52	0.00	8	3.81	5	2	1
53	0.00	8	3.81	5	2	1
54	50.93	8	3.81	5	2	1
55	48.38	8	3.81	5	2	1
56	12.73	8	5.85	10	2	1
57	19.10	8	5.85	10	2	1
58	11.46	8	5.85	10	2	1
59	28.01	8	5.85	10	2	1
60	17.83	8	5.85	10	2	1
61	5.09	8	5.85	10	2	1
62	7.64	11	5.29	11	2	1
63	5.09	11	5.29	11	2	1
64	6.37	11	5.29	11	2	1
65	26.74	11	5.29	11	2	1
66	40.74	11	5.29	11	2	1
67	21.65	11	5.29	11	2	1
68	17.83	11	5.29	11	2	1
69	0.00	11	5.29	11	2	1
70	38.20	11	5.29	11	2	1
71	57.30	11	5.29	11	2	1
72	10.19	11	5.29	11	2	1
73	3.82	11	5.29	11	2	1
74	29.28	11	5.29	11	2	1
75	42.02	11	5.29	11	2	1
76	20.37	11	5.29	11	2	1
77	2.55	11	5.29	11	2	1
78	38.20	11	5.29	11	2	1
79	30.56	11	5.29	11	2	1
80	49.66	11	5.29	11	2	1
81	31.83	11	5.29	11	2	1
82	7.20	8	3.81	2	2	2
83	4.40	8	3.81	2	2	2
84	3.60	8	3.81	2	2	2
85	2.40	8	3.81	2	2	2
86	5.20	8	3.81	2	2	2
87	1.60	8	3.81	2	2	2
88	1.60	8	3.81	2	2	2
89	1.20	8	3.81	2	2	2
