ID	Transect	Sex	Capitula	TimeUnit	Temperature	PercFlower	Bees	AMPM	MYVEC
1	1	1	1	7	21.2	0	0.5	0	1
3	1	1	1	7	21.2	0	0.5	1	36
5	1	1	2	7	21.2	12.55215	0.5	0	2
7	1	1	2	7	21.2	12.55215	0.5	1	37
9	1	1	3	7	21.2	2.1666	1.5	0	3
11	1	1	3	7	21.2	2.1666	1	1	38
13	1	1	4	7	21.2	16.60275	0.5	0	4
15	1	1	4	7	21.2	16.60275	1.5	1	39
17	1	1	5	7	21.2	0	0.5	0	5
19	1	1	5	7	21.2	0	0.5	1	40
21	2	1	1	7	21.2	0	0.5	0	6
23	2	1	1	7	21.2	0	0.5	1	41
25	2	1	2	7	21.2	20.41	1	0	7
27	2	1	2	7	21.2	20.41	0.5	1	42
29	2	1	3	7	21.2	13.345	1.5	0	8
31	2	1	3	7	21.2	13.345	0.5	1	43
33	2	1	4	7	21.2	17.584	1.5	0	9
35	2	1	4	7	21.2	17.584	0	1	44
37	2	1	5	7	21.2	12.36375	0	0	10
39	2	1	5	7	21.2	12.36375	0.5	1	45
41	3	1	1	7	21.2	0	0.5	0	11
43	3	1	1	7	21.2	0	0.5	1	46
45	3	1	2	7	21.2	1.6014	0.5	0	12
47	3	1	2	7	21.2	1.6014	0	1	47
49	3	1	3	7	21.2	9.53775	0.5	0	13
51	3	1	3	7	21.2	9.53775	0.5	1	48
53	3	1	4	7	21.2	9.25515	0.5	0	14
55	3	1	4	7	21.2	9.25515	0.5	1	49
57	3	1	5	7	21.2	9.5456	0.5	0	15
59	3	1	5	7	21.2	9.5456	0.5	1	50
61	4	1	1	7	21.2	30.41875	1	0	16
63	4	1	1	7	21.2	30.41875	0	1	51
65	4	1	2	7	21.2	6.7824	0.5	0	17
67	4	1	2	7	21.2	6.7824	0.5	1	52
69	4	1	3	7	21.2	3.3912	0.5	0	18
71	4	1	3	7	21.2	3.3912	0.5	1	53
73	4	1	4	7	21.2	5.29875	0.5	0	19
75	4	1	4	7	21.2	5.29875	0.5	1	54
77	4	1	5	7	21.2	11.13915	0	0	20
79	4	1	5	7	21.2	11.13915	1	1	55
81	5	1	1	7	21.2	6.20935	0	0	21
83	5	1	1	7	21.2	6.20935	0.5	1	56
85	5	1	2	7	21.2	12.4344	0.5	0	22
87	5	1	2	7	21.2	12.4344	0.5	1	57
89	5	1	3	7	21.2	0	0.5	0	23
91	5	1	3	7	21.2	0	0.5	1	58
93	5	1	4	7	21.2	8.792	0.5	0	24
95	5	1	4	7	21.2	8.792	0	1	59
97	5	1	5	7	21.2	23.864	0.5	0	25
99	5	1	5	7	21.2	23.864	0.5	1	60
101	6	0	1	7	21.2	14.5696	0.5	0	26
103	6	0	1	7	21.2	14.5696	0	1	61
105	6	0	2	7	21.2	19.53865	0.5	0	27
107	6	0	2	7	21.2	19.53865	0.5	1	62
109	6	0	3	7	21.2	13.74535	0	0	28
111	6	0	3	7	21.2	13.74535	1	1	63
113	6	0	4	7	21.2	14.4126	0	0	29
115	6	0	4	7	21.2	14.4126	0.5	1	64
117	6	0	5	7	21.2	21.98	0.5	0	30
119	6	0	5	7	21.2	21.98	0.5	1	65
121	7	0	1	7	21.2	7.6616	0.5	0	31
123	7	0	1	7	21.2	7.6616	0	1	66
125	7	0	2	7	21.2	12.34805	0	0	32
127	7	0	2	7	21.2	12.34805	0	1	67
129	7	0	3	7	21.2	2.8888	0.5	0	33
131	7	0	3	7	21.2	2.8888	0.5	1	68
133	7	0	4	7	21.2	3.7052	0.5	0	34
135	7	0	4	7	21.2	3.7052	0.5	1	69
137	7	0	5	7	21.2	7.13565	0.5	0	35
139	7	0	5	7	21.2	7.13565	0.5	1	70
141	1	1	1	8	19.8	6.75885	2	0	1
143	1	1	1	8	19.8	6.75885	1	1	36
145	1	1	2	8	19.8	18.84	2.5	0	2
147	1	1	2	8	19.8	18.84	3	1	37
149	1	1	3	8	19.8	17.48195	1.5	0	3
151	1	1	3	8	19.8	17.48195	2.5	1	38
153	1	1	4	8	19.8	29.0136	2	0	4
155	1	1	4	8	19.8	29.0136	2	1	39
157	1	1	5	8	19.8	12.246	2.5	0	5
159	1	1	5	8	19.8	12.246	1	1	40
161	2	1	1	8	19.8	13.4078	1.5	0	6
163	2	1	1	8	19.8	13.4078	3	1	41
165	2	1	2	8	19.8	28.91155	1	0	7
167	2	1	2	8	19.8	28.91155	2	1	42
169	2	1	3	8	19.8	26.54085	1.5	0	8
171	2	1	3	8	19.8	26.54085	1.5	1	43
173	2	1	4	8	19.8	35.81955	3	0	9
175	2	1	4	8	19.8	35.81955	2.5	1	44
177	2	1	5	8	19.8	18.23555	3.5	0	10
179	2	1	5	8	19.8	18.23555	1.5	1	45
181	3	1	1	8	19.8	7.1592	3.5	0	11
183	3	1	1	8	19.8	7.1592	1.5	1	46
185	3	1	2	8	19.8	11.6494	1.5	0	12
187	3	1	2	8	19.8	11.6494	2	1	47
189	3	1	3	8	19.8	20.73185	3	0	13
191	3	1	3	8	19.8	20.73185	1.5	1	48
193	3	1	4	8	19.8	14.8208	1.5	0	14
195	3	1	4	8	19.8	14.8208	2.5	1	49
197	3	1	5	8	19.8	17.48195	1	0	15
199	3	1	5	8	19.8	17.48195	2.5	1	50
201	4	1	1	8	19.8	53.49775	2.5	0	16
203	4	1	1	8	19.8	53.49775	1	1	51
205	4	1	2	8	19.8	19.82125	2	0	17
207	4	1	2	8	19.8	19.82125	2.5	1	52
209	4	1	3	8	19.8	14.0672	1	0	18
211	4	1	3	8	19.8	14.0672	2	1	53
213	4	1	4	8	19.8	17.74885	1.5	0	19
215	4	1	4	8	19.8	17.74885	2.5	1	54
