Site	Year	Month	Depth	pH	Conductivity 	BOD	Ammoniacal_Nitrogen	Total_Oxidised_Nitrogen	Suspended_Solids	Chloride	Sulphate	Total_Calcium	Total_Zinc	Total_Cadmium	Total_Lead	Total_Nickel	Total_Phosphate
1	1997	11	NA	7.62	511	7.1	0.1	1.42	441	43	63	104	0.18	NA	0.07	0.03	NA
1	1999	1	0.4	8.51	778	7.9	0.2	1.43	759	78	196	141	0.24	0.005	0.14	0.03	0.05
1	1999	4	0.25	7.71	517	3.6	0.1	3.88	30	65	123	77.6	0.04	0.005	0.05	0.03	0.3
1	1999	7	0.4	7.77	1892	3.4	0.1	0.05	51	266	405	158	0.05	0.005	0.05	0.03	0.17
1	1999	10	0.5	8.04	1600	4.2	1.2	0.34	156	126	519	254	0.06	0.005	0.05	0.03	0.25
1	2000	1	0.2	8.06	889	4.5	0.8	0.82	106	80	270	121	0.04	0.005	0.05	0.03	0.19
1	2000	4	0.75	7.72	1010	2	0.1	0.47	37	116	388	143	0.02	0.007	0.05	0.04	0.09
1	2000	7	0.1	7.94	1460	5.5	0.3	0.22	75	177	489	197	0.03	0.008	0.05	0.04	0.05
1	2000	10	0.75	7.21	1050	3.1	0.6	0.71	16	72	309	151	0.02	0.007	0.05	0.04	2.71
1	2001	1	0.1	7.7	1760	14	3.4	1.3	682	166	712	488	0.73	0.004	0.36	0.057	1.8
2	1997	11	NA	7.87	730	6.6	0.1	3.23	320	64	86	145	0.26	NA	0.18	0.03	NA
2	1999	1	0.2	8.47	1070	18	0.3	1.37	3030	99	341	420	1.7	0.005	0.95	0.13	0.08
2	1999	4	0.05	7.86	712	7.9	0.2	1.66	113	95	212	112	0.06	0.005	0.05	0.03	0.3
2	1999	7	0.1	7.68	1863	22	1	0.06	749	305	381	243	0.42	0.005	0.26	0.03	0.07
2	2000	1	0.05	8.08	1130	4.9	1.2	0.64	548	94	358	431	0.89	0.005	0.51	0.09	1.58
2	2000	4	0.4	7.72	883	4.8	0.5	0.91	45	84	360	135	0.04	0.007	0.05	0.04	0.12
