,"Xcoord","Ycoord","Day1"
1,544250,410750,5
2,535750,411750,4
3,536250,413250,3
4,535750,413750,1
5,536250,413750,2
6,535250,415750,4
7,535750,417750,5
8,536250,418750,6
9,544750,419250,3
10,536750,419750,2
11,541250,419750,1
12,543250,410250,7
13,535750,414750,4
14,541750,415750,6
15,543750,419750,3
16,535250,412250,5
17,535750,418250,10
18,544250,419750,3
19,543250,410750,8
20,542250,411750,4
21,535250,413250,3
22,535250,414750,5
23,535250,415250,7
24,535750,415750,7
25,535250,419250,4
26,537250,410750,3
27,537250,412750,3
28,536250,417250,3
29,537750,410750,3
30,544250,411250,3
31,536750,412250,2
32,535750,413250,2
33,535750,414250,8
34,536250,414750,6
35,536250,415250,4
36,536750,416750,5
37,536750,417750,5
38,536250,418250,9
39,535750,419750,7
40,543250,419750,6
41,538250,410750,7
42,544750,411750,8
43,536750,414750,4
44,536750,415250,8
45,536250,419750,4
46,537750,411750,4
47,540250,411750,6
48,541250,411750,5
49,543750,411750,5
50,536750,412750,9
51,536750,413250,4
52,537250,413250,1
53,537250,416750,6
54,544750,412250,4
55,537750,413250,4
56,537250,414250,4
57,535750,419250,7
58,536750,411250,7
59,536750,411750,8
60,536750,413750,5
61,537750,413750,5
62,536250,416750,6
63,536750,417250,12
64,537250,412250,5
65,544750,412750,6
66,536250,414250,4
67,536250,416250,11
68,538750,418750,9
69,544250,419250,8
70,542750,411250,8
71,535750,412250,6
72,537250,411250,7
73,537750,411250,3
74,543250,411250,10
75,536250,412250,9
76,537750,412250,5
77,536250,415750,12
78,541250,419250,5
79,543750,419250,8
80,537250,411750,5
81,544250,411750,16
82,536750,414250,7
83,539250,418750,4
84,544250,418750,6
85,535250,419750,15
86,536250,411750,8
87,537750,412750,5
88,543250,411750,14
89,536750,415750,10
90,536750,418750,11
91,537750,419250,8
92,540750,419250,7
93,538750,411250,10
94,537250,413750,5
95,537250,419250,10
96,536750,416250,11
97,536750,418250,17
98,541750,412250,13
99,535750,412750,4
100,542750,411750,11
101,544250,412250,14
102,537250,416250,13
103,537250,417250,13
104,540750,418750,11
105,540750,411750,15
106,538250,412250,9
107,540750,412250,14
108,543750,412250,8
109,542250,412250,9
110,544750,418750,3
111,544750,413250,8
112,536250,419250,20
113,541250,412250,9
114,537250,414750,12
115,542750,419750,19
116,535250,412750,11
117,537250,415750,12
118,537250,417750,9
119,544750,418250,4
120,543250,419250,13
121,538750,412250,11
122,537750,414250,11
123,543750,418750,12
124,543250,412250,18
125,541250,413250,17
126,537750,414750,10
127,537250,415250,14
128,536750,419250,22
129,538250,413250,14
130,539750,412250,14
131,537250,418250,16
132,538250,413750,14
133,541750,419750,24
134,537750,417250,22
135,544750,413750,21
136,544250,418250,7
137,544750,417750,2
138,544250,412750,13
139,537750,416250,27
140,540750,418250,31
141,537250,418750,21
142,538250,412750,12
143,543750,412750,22
144,542250,419750,25
145,544250,413750,29
146,539750,418250,32
147,541250,418750,8
148,544750,414250,24
149,544750,414750,22
150,544250,413250,18
151,537750,416750,27
152,538250,418750,25
153,543250,418750,27
154,538250,411750,10
155,542750,419250,30
156,542750,412250,30
157,541250,412750,34
158,538250,411250,23
159,537750,417750,27
160,540250,418250,25
161,542250,412750,31
162,538250,414750,19
163,537750,415250,22
164,539250,412250,39
165,544750,417250,10
166,544750,415250,27
167,538750,412750,24
168,543750,418250,18
169,541750,412750,29
