"x","y"
534250,409250
534350,409250
534450,409250
534550,409250
534650,409250
534750,409250
534850,409250
534950,409250
535050,409250
535150,409250
535250,409250
535350,409250
535450,409250
535550,409250
535650,409250
535750,409250
535850,409250
535950,409250
536050,409250
536150,409250
536250,409250
536350,409250
536450,409250
536550,409250
536650,409250
536750,409250
536850,409250
536950,409250
537050,409250
537150,409250
537250,409250
537350,409250
537450,409250
537550,409250
537650,409250
537750,409250
537850,409250
537950,409250
538050,409250
538150,409250
538250,409250
538350,409250
538450,409250
538550,409250
538650,409250
538750,409250
538850,409250
538950,409250
539050,409250
539150,409250
539250,409250
539350,409250
539450,409250
539550,409250
539650,409250
539750,409250
539850,409250
539950,409250
540050,409250
540150,409250
540250,409250
540350,409250
540450,409250
540550,409250
540650,409250
540750,409250
540850,409250
540950,409250
541050,409250
541150,409250
541250,409250
541350,409250
541450,409250
541550,409250
541650,409250
541750,409250
541850,409250
541950,409250
542050,409250
542150,409250
542250,409250
542350,409250
542450,409250
542550,409250
542650,409250
542750,409250
542850,409250
542950,409250
543050,409250
543150,409250
543250,409250
543350,409250
543450,409250
543550,409250
543650,409250
543750,409250
543850,409250
543950,409250
544050,409250
544150,409250
544250,409250
544350,409250
544450,409250
544550,409250
544650,409250
544750,409250
544850,409250
544950,409250
545050,409250
545150,409250
545250,409250
545350,409250
545450,409250
545550,409250
545650,409250
545750,409250
534250,409350
534350,409350
534450,409350
534550,409350
534650,409350
534750,409350
534850,409350
534950,409350
535050,409350
535150,409350
535250,409350
535350,409350
535450,409350
535550,409350
535650,409350
535750,409350
535850,409350
535950,409350
536050,409350
536150,409350
536250,409350
536350,409350
536450,409350
536550,409350
536650,409350
536750,409350
536850,409350
536950,409350
537050,409350
537150,409350
537250,409350
537350,409350
537450,409350
537550,409350
537650,409350
537750,409350
537850,409350
537950,409350
538050,409350
538150,409350
538250,409350
538350,409350
538450,409350
538550,409350
538650,409350
538750,409350
538850,409350
538950,409350
539050,409350
539150,409350
539250,409350
539350,409350
539450,409350
539550,409350
539650,409350
539750,409350
539850,409350
539950,409350
540050,409350
540150,409350
540250,409350
540350,409350
540450,409350
540550,409350
540650,409350
540750,409350
540850,409350
540950,409350
541050,409350
541150,409350
541250,409350
541350,409350
541450,409350
541550,409350
541650,409350
541750,409350
541850,409350
541950,409350
542050,409350
542150,409350
542250,409350
542350,409350
542450,409350
542550,409350
542650,409350
542750,409350
542850,409350
542950,409350
543050,409350
543150,409350
543250,409350
543350,409350
543450,409350
543550,409350
543650,409350
543750,409350
543850,409350
543950,409350
544050,409350
544150,409350
544250,409350
544350,409350
544450,409350
544550,409350
544650,409350
544750,409350
544850,409350
544950,409350
545050,409350
545150,409350
545250,409350
545350,409350
545450,409350
545550,409350
545650,409350
545750,409350
534250,409450
534350,409450
534450,409450
534550,409450
534650,409450
534750,409450
534850,409450
534950,409450
535050,409450
535150,409450
535250,409450
535350,409450
535450,409450
535550,409450
535650,409450
535750,409450
535850,409450
535950,409450
536050,409450
536150,409450
536250,409450
536350,409450
536450,409450
536550,409450
536650,409450
536750,409450
536850,409450
536950,409450
537050,409450
537150,409450
537250,409450
537350,409450
537450,409450
537550,409450
537650,409450
537750,409450
537850,409450
537950,409450
538050,409450
538150,409450
538250,409450
538350,409450
538450,409450
538550,409450
538650,409450
538750,409450
538850,409450
538950,409450
539050,409450
539150,409450
539250,409450
539350,409450
539450,409450
539550,409450
539650,409450
539750,409450
539850,409450
539950,409450
540050,409450
540150,409450
540250,409450
540350,409450
540450,409450
540550,409450
540650,409450
540750,409450
540850,409450
540950,409450
541050,409450
541150,409450
541250,409450
541350,409450
541450,409450
541550,409450
541650,409450
541750,409450
541850,409450
541950,409450
542050,409450
542150,409450
542250,409450
542350,409450
542450,409450
542550,409450
542650,409450
542750,409450
542850,409450
542950,409450
543050,409450
543150,409450
543250,409450
543350,409450
543450,409450
543550,409450
543650,409450
543750,409450
543850,409450
543950,409450
544050,409450
544150,409450
544250,409450
544350,409450
544450,409450
544550,409450
544650,409450
544750,409450
544850,409450
544950,409450
545050,409450
545150,409450
545250,409450
545350,409450
545450,409450
545550,409450
545650,409450
545750,409450
534250,409550
534350,409550
534450,409550
534550,409550
534650,409550
534750,409550
534850,409550
534950,409550
535050,409550
535150,409550
535250,409550
535350,409550
535450,409550
535550,409550
535650,409550
535750,409550
535850,409550
535950,409550
536050,409550
536150,409550
536250,409550
536350,409550
536450,409550
536550,409550
536650,409550
536750,409550
536850,409550
536950,409550
537050,409550
537150,409550
537250,409550
537350,409550
537450,409550
537550,409550
537650,409550
537750,409550
537850,409550
537950,409550
538050,409550
538150,409550
538250,409550
538350,409550
538450,409550
538550,409550
