"num","x","y","NDVI","Grn","Wet","T61"
1,0,0,0.622717,0.128833,-0.056742,295.574
2,70,0,0.603648,0.121796,-0.0566044,295.948
3,140,0,0.616866,0.126081,-0.0585537,295.948
4,210,0,0.611979,0.123643,-0.0585165,295.808
5,280,0,0.614103,0.123441,-0.0560034,295.901
6,350,0,0.611745,0.121887,-0.0567427,296.227
7,420,0,0.615261,0.130951,-0.0653587,295.667
8,490,0,0.616384,0.120609,-0.0582776,295.433
9,560,0,0.597946,0.116736,-0.0567956,295.527
10,630,0,0.603242,0.118639,-0.0568298,295.527
11,700,0,0.607193,0.120794,-0.053577,295.246
12,770,0,0.604006,0.117384,-0.0564664,295.386
13,840,0,0.595762,0.114772,-0.0561566,295.48
14,910,0,0.606947,0.123156,-0.0577403,295.527
15,980,0,0.57769,0.109012,-0.0583766,295.808
16,1050,0,0.586119,0.11061,-0.0512405,295.948
17,1120,0,0.592382,0.107308,-0.0521799,296.041
18,1190,0,0.595685,0.132292,-0.0869995,296.088
19,1260,0,0.592258,0.120708,-0.0603648,295.947
20,1330,0,0.644587,0.147763,-0.0562637,295.994
21,1400,0,0.621569,0.141832,-0.0649556,295.667
22,1470,0,0.635632,0.148544,-0.0659198,296.274
23,1540,0,0.531383,0.124766,-0.113962,296.367
24,1610,0,-9999,-9999,-9999,-9999
25,1680,0,-9999,-9999,-9999,-9999
26,1750,0,-9999,-9999,-9999,-9999
27,1820,0,-9999,-9999,-9999,-9999
28,1890,0,-9999,-9999,-9999,-9999
29,1960,0,-9999,-9999,-9999,-9999
30,2030,0,-9999,-9999,-9999,-9999
31,2100,0,-9999,-9999,-9999,-9999
32,2170,0,-9999,-9999,-9999,-9999
33,2240,0,-9999,-9999,-9999,-9999
34,2310,0,-9999,-9999,-9999,-9999
35,2380,0,-9999,-9999,-9999,-9999
36,2450,0,-9999,-9999,-9999,-9999
37,2520,0,-9999,-9999,-9999,-9999
38,2590,0,-9999,-9999,-9999,-9999
39,2660,0,-9999,-9999,-9999,-9999
40,0,70,0.598844,0.115445,-0.0565167,295.948
41,70,70,0.609636,0.120518,-0.0556356,295.948
42,140,70,0.616371,0.118967,-0.0547237,295.948
43,210,70,0.610707,0.122864,-0.0572917,295.948
44,280,70,0.61685,0.127475,-0.0579923,295.667
45,350,70,0.612799,0.123989,-0.0543766,295.105
46,420,70,0.624765,0.131281,-0.0603177,295.105
47,490,70,0.621798,0.129287,-0.0577427,295.527
